protocol,track,representation,model,fold,n_features,n_discovered,n_train,n_validation,rmse,mae,r2,target_mean,target_std
fold_state_stratified,clean,B2_empirical,Ridge10,3,91,0,110,28,0.6158911023884196,0.47139445693174925,0.4657741048338945,3.9474999999999993,0.8581013710296488
fold_state_stratified,clean,B2_empirical,Ridge10,4,91,0,111,27,0.6810504629038181,0.499970708219263,0.37632824328047887,3.817407407407407,0.8788129782338507
fold_state_stratified,clean,B2_empirical,Ridge10,5,91,0,111,27,0.705365358777633,0.5258196609615734,0.29661378225733503,4.055925925925926,0.8570623317214684
fold_municipality_grouped,clean,B2_empirical,Ridge10,1,91,0,105,33,0.8914003723005482,0.7489675301409878,-4.600734920713259,3.0454545454545454,0.3825007427206099
fold_municipality_grouped,clean,B2_empirical,Ridge10,2,91,0,122,16,1.1155160453080815,0.9573278339414785,-6.049353133856697,3.08125,0.43392587692677037
fold_municipality_grouped,clean,B2_empirical,Ridge10,3,91,0,128,10,0.6574529301782625,0.5790247788642542,-12.520734317619652,4.520999999999999,0.1884704515596839
fold_municipality_grouped,clean,B2_empirical,Ridge10,4,91,0,65,73,1.0567901611597372,0.9076426669196316,-2.1286173816748466,4.456712328767122,0.6015998457689494
fold_municipality_grouped,clean,B2_empirical,Ridge10,5,91,0,132,6,1.006525311743921,0.8903326890929643,-0.6172043984605913,4.248333333333332,0.8670274889913622
fold_state_stratified,clean,B2_empirical,ExtraTrees,1,91,0,110,28,0.6427365329019109,0.48413109857074116,0.44832119115744795,3.9039285714285716,0.8812253223682743
fold_state_stratified,clean,B2_empirical,ExtraTrees,2,91,0,110,28,0.6781699551240077,0.5749998971861477,0.2888831065363121,4.050714285714286,0.818964696799059
fold_state_stratified,clean,B2_empirical,ExtraTrees,3,91,0,110,28,0.6657849882954978,0.5572960174878027,0.37571187657087757,3.9474999999999993,0.8581013710296488
fold_state_stratified,clean,B2_empirical,ExtraTrees,4,91,0,111,27,0.6788584622887035,0.5476223371792819,0.38033643040048326,3.817407407407407,0.8788129782338507
fold_state_stratified,clean,B2_empirical,ExtraTrees,5,91,0,111,27,0.6149845989361802,0.4924148079561044,0.46531982716260845,4.055925925925926,0.8570623317214684
fold_municipality_grouped,clean,B2_empirical,ExtraTrees,1,91,0,105,33,1.04946470211415,0.9676776332954363,-6.763097989068458,3.0454545454545454,0.3825007427206099
fold_municipality_grouped,clean,B2_empirical,ExtraTrees,2,91,0,122,16,1.1315927744657455,1.032211771885522,-6.254006750367545,3.08125,0.43392587692677037
fold_municipality_grouped,clean,B2_empirical,ExtraTrees,3,91,0,128,10,0.5228556486802692,0.5014353690476193,-7.551347535326871,4.520999999999999,0.1884704515596839
fold_municipality_grouped,clean,B2_empirical,ExtraTrees,4,91,0,65,73,1.0691910613581868,0.9818116432920202,-2.20247368524698,4.456712328767122,0.6015998457689494
fold_municipality_grouped,clean,B2_empirical,ExtraTrees,5,91,0,132,6,0.6330904257725489,0.4972093787077119,0.3601959223586618,4.248333333333332,0.8670274889913622
fold_state_stratified,clean,B3_base_plus_agronomic,Ridge10,1,815,0,110,28,0.7058532943115974,0.5355351281869514,0.334651438074949,3.9039285714285716,0.8812253223682743
fold_state_stratified,clean,B3_base_plus_agronomic,Ridge10,2,815,0,110,28,0.650391762153931,0.5307190517846274,0.345945453453429,4.050714285714286,0.818964696799059
fold_state_stratified,clean,B3_base_plus_agronomic,Ridge10,3,815,0,110,28,0.6587928183034263,0.5277715508343676,0.3887557485530223,3.9474999999999993,0.8581013710296488
fold_state_stratified,clean,B3_base_plus_agronomic,Ridge10,4,815,0,111,27,0.7156715121637592,0.5219186106154843,0.3113081356088103,3.817407407407407,0.8788129782338507
fold_state_stratified,clean,B3_base_plus_agronomic,Ridge10,5,815,0,111,27,0.6257724915700791,0.4916401313664398,0.44639687108816206,4.055925925925926,0.8570623317214684
fold_municipality_grouped,clean,B3_base_plus_agronomic,Ridge10,1,815,0,105,33,0.7161070588123475,0.5903501361782254,-2.614558894061284,3.0454545454545454,0.3825007427206099
fold_municipality_grouped,clean,B3_base_plus_agronomic,Ridge10,2,815,0,122,16,1.4083455485386358,1.3185607835357407,-10.23611239492541,3.08125,0.43392587692677037
fold_municipality_grouped,clean,B3_base_plus_agronomic,Ridge10,3,815,0,128,10,0.9752647065734089,0.7972214423525446,-28.7519862331545,4.520999999999999,0.1884704515596839
fold_municipality_grouped,clean,B3_base_plus_agronomic,Ridge10,4,815,0,65,73,0.8719203311189279,0.7301216676885398,-1.1297495747640722,4.456712328767122,0.6015998457689494
fold_municipality_grouped,clean,B3_base_plus_agronomic,Ridge10,5,815,0,132,6,0.8740519935380626,0.7588138938531932,-0.21952314625613645,4.248333333333332,0.8670274889913622
fold_state_stratified,clean,B3_base_plus_agronomic,ExtraTrees,1,815,0,110,28,0.5577692994337612,0.38448924603174583,0.5845396877477254,3.9039285714285716,0.8812253223682743
fold_state_stratified,clean,B3_base_plus_agronomic,ExtraTrees,2,815,0,110,28,0.4834274065569557,0.38651829365079404,0.6386513463131934,4.050714285714286,0.818964696799059
fold_state_stratified,clean,B3_base_plus_agronomic,ExtraTrees,3,815,0,110,28,0.4169086197444076,0.3078612981859415,0.7552070960732233,3.9474999999999993,0.8581013710296488
fold_state_stratified,clean,B3_base_plus_agronomic,ExtraTrees,4,815,0,111,27,0.5552010359826802,0.3549444855967073,0.5855252979735623,3.817407407407407,0.8788129782338507
fold_state_stratified,clean,B3_base_plus_agronomic,ExtraTrees,5,815,0,111,27,0.4845719313570945,0.3778634979423863,0.6680427880240895,4.055925925925926,0.8570623317214684
fold_municipality_grouped,clean,B3_base_plus_agronomic,ExtraTrees,1,815,0,105,33,0.8324350337004914,0.7392060101010092,-3.8842748538930794,3.0454545454545454,0.3825007427206099
fold_municipality_grouped,clean,B3_base_plus_agronomic,ExtraTrees,2,815,0,122,16,1.2742612512224154,1.2043473958333326,-8.198448429075691,3.08125,0.43392587692677037
fold_municipality_grouped,clean,B3_base_plus_agronomic,ExtraTrees,3,815,0,128,10,0.8879267278739115,0.8706979444444449,-23.661824707462547,4.520999999999999,0.1884704515596839
fold_municipality_grouped,clean,B3_base_plus_agronomic,ExtraTrees,4,815,0,65,73,0.8678431671439385,0.7732343683409437,-1.1098784100101935,4.456712328767122,0.6015998457689494
fold_municipality_grouped,clean,B3_base_plus_agronomic,ExtraTrees,5,815,0,132,6,0.671648673363399,0.6488063888888894,0.2798883538335988,4.248333333333332,0.8670274889913622
fold_state_stratified,clean,B4_base_plus_empirical,Ridge10,1,783,0,110,28,0.71651585923522,0.5835757590692153,0.3143982057510615,3.9039285714285716,0.8812253223682743
fold_state_stratified,clean,B4_base_plus_empirical,Ridge10,2,783,0,110,28,0.6220150154371961,0.5119942204310164,0.40177350653740396,4.050714285714286,0.818964696799059
fold_state_stratified,clean,B4_base_plus_empirical,Ridge10,3,783,0,110,28,0.6778432151908216,0.5309227417405535,0.35289376820243057,3.9474999999999993,0.8581013710296488
fold_state_stratified,clean,B4_base_plus_empirical,Ridge10,4,783,0,111,27,0.7091236962874622,0.5186341025249385,0.32385243460284574,3.817407407407407,0.8788129782338507
fold_state_stratified,clean,B4_base_plus_empirical,Ridge10,5,783,0,111,27,0.662428800090783,0.501396262778323,0.37963967959143874,4.055925925925926,0.8570623317214684
fold_municipality_grouped,clean,B4_base_plus_empirical,Ridge10,1,783,0,105,33,0.6800173777055301,0.5679849919829651,-2.259413187092941,3.0454545454545454,0.3825007427206099
fold_municipality_grouped,clean,B4_base_plus_empirical,Ridge10,2,783,0,122,16,1.4129996372892693,1.2866004567864575,-10.310497933055528,3.08125,0.43392587692677037
fold_municipality_grouped,clean,B4_base_plus_empirical,Ridge10,3,783,0,128,10,0.7416784595922727,0.6126622391858255,-16.206885965252773,4.520999999999999,0.1884704515596839
fold_municipality_grouped,clean,B4_base_plus_empirical,Ridge10,4,783,0,65,73,0.8283475654834735,0.6873484089502819,-0.9222068987126582,4.456712328767122,0.6015998457689494
fold_municipality_grouped,clean,B4_base_plus_empirical,Ridge10,5,783,0,132,6,1.103846650251583,0.9664047112136748,-0.9450599891708111,4.248333333333332,0.8670274889913622
