protocol,outer_fold,meta_model,meta_kind,n_train,n_validation,n_base_candidates,n_meta_features,inner_best_rmse,best_params_json,elapsed_seconds,rmse,mae,r2
fold_state_stratified,2,HistGBStack,hist_gradient_boosting,110,28,10,15,0.595306312381382,"{""l2_regularization"": 10.0, ""learning_rate"": 0.03, ""max_leaf_nodes"": 5}",1.3705176999792457,0.6608674899442575,0.47527941891944686,0.32470632577841185
fold_state_stratified,3,EqualTop3,equal_top3,110,28,10,15,,{},0.0014037999790161848,0.41077506643128525,0.3223496991813321,0.7623568914915253
fold_state_stratified,3,MeanAll,mean_all,110,28,10,15,,{},0.00101200002245605,0.39530929450700275,0.31738948587250804,0.779914654072067
fold_state_stratified,3,ConvexAll,convex_simplex,110,28,10,15,,{},0.006511699873954058,0.42370770868536295,0.3232589721635398,0.7471576569644218
fold_state_stratified,3,RidgeStack,ridge,110,28,10,15,0.5763626352764663,"{""model__alpha"": 10.0}",0.07083199988119304,0.4281012372769221,0.3117197225110771,0.7418869031795291
fold_state_stratified,3,ElasticNetStack,elastic_net,110,28,10,15,0.5692937244068293,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.5}",0.10147870006039739,0.41984904385852256,0.31668248194746823,0.7517419084880943
fold_state_stratified,3,HuberStack,huber,110,28,10,15,0.6612925463923406,"{""model__alpha"": 0.1, ""model__epsilon"": 1.5}",0.400162500096485,0.4805653563118664,0.34442447146128485,0.6747464880764931
fold_state_stratified,3,ExtraTreesStack,extra_trees,110,28,10,15,0.5605117655452211,"{""max_features"": 1.0, ""min_samples_leaf"": 8}",4.8552685000468045,0.34623055217447096,0.26735653244529206,0.8311706874106424
fold_state_stratified,3,HistGBStack,hist_gradient_boosting,110,28,10,15,0.5986048893017927,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_leaf_nodes"": 3}",1.2466839000117034,0.4433038995290683,0.34697624734753685,0.7232292576272725
fold_state_stratified,4,EqualTop3,equal_top3,111,27,10,15,,{},0.0011547000613063574,0.5894746753096126,0.3939518672758799,0.5327731458459906
fold_state_stratified,4,MeanAll,mean_all,111,27,10,15,,{},0.0010373999830335379,0.5956276779677601,0.40300060651073316,0.5229683070983742
fold_state_stratified,4,ConvexAll,convex_simplex,111,27,10,15,,{},0.008486300008371472,0.5831888276607845,0.3806559804869288,0.5426845401008504
fold_state_stratified,4,RidgeStack,ridge,111,27,10,15,0.48281055651733285,"{""model__alpha"": 10.0}",0.07526910002343357,0.5693850460235608,0.375539748976606,0.5640771781760565
