protocol,outer_fold,meta_model,feature,value_kind,value
fold_state_stratified,5,ConvexAll,B04_C0_Ridge,convex_weight,0.1799656836755495
fold_state_stratified,5,ConvexAll,B05_C3_PLS,convex_weight,0.19792882213376445
fold_state_stratified,5,ConvexAll,B06_C2_PLS,convex_weight,2.4079308994390427e-17
fold_state_stratified,5,ConvexAll,B07_C1_ExtraTrees,convex_weight,0.11628257609273124
fold_state_stratified,5,ConvexAll,B08_C1_PLS,convex_weight,0.3139713288392967
fold_state_stratified,5,ConvexAll,B09_C0_PCA_Ridge,convex_weight,1.5602982824296487e-17
fold_state_stratified,5,ConvexAll,B10_C1_PCA_Ridge,convex_weight,1.0543472937997807e-17
fold_state_stratified,5,RidgeStack,pred__B01_C0_PLS,coefficient,0.04917070944619321
fold_state_stratified,5,RidgeStack,pred__B02_C3_Ridge,coefficient,0.05159343346561924
fold_state_stratified,5,RidgeStack,pred__B03_C1_CatBoost,coefficient,0.06036365351734426
fold_state_stratified,5,RidgeStack,pred__B04_C0_Ridge,coefficient,0.05434153135705383
fold_state_stratified,5,RidgeStack,pred__B05_C3_PLS,coefficient,0.052886325127532524
fold_state_stratified,5,RidgeStack,pred__B06_C2_PLS,coefficient,0.04575898433266195
fold_state_stratified,5,RidgeStack,pred__B07_C1_ExtraTrees,coefficient,0.058662133825550584
fold_state_stratified,5,RidgeStack,pred__B08_C1_PLS,coefficient,0.061756353804994266
fold_state_stratified,5,RidgeStack,pred__B09_C0_PCA_Ridge,coefficient,0.04089163565078408
fold_state_stratified,5,RidgeStack,pred__B10_C1_PCA_Ridge,coefficient,0.04734052160725759
fold_state_stratified,5,RidgeStack,pred_mean_all,coefficient,0.05326146747357101
fold_state_stratified,5,RidgeStack,pred_std_all,coefficient,0.020592750084585793
fold_state_stratified,5,RidgeStack,pred_range_all,coefficient,0.02655986735826627
fold_state_stratified,5,RidgeStack,pred_mean_top3,coefficient,0.05458607478659337
fold_state_stratified,5,RidgeStack,pred_std_top3,coefficient,-0.00756797310202658
fold_state_stratified,5,ElasticNetStack,pred__B01_C0_PLS,coefficient,0.04189185979936526
fold_state_stratified,5,ElasticNetStack,pred__B02_C3_Ridge,coefficient,0.04453567838630782
fold_state_stratified,5,ElasticNetStack,pred__B03_C1_CatBoost,coefficient,0.09821385599492391
fold_state_stratified,5,ElasticNetStack,pred__B04_C0_Ridge,coefficient,0.07806307387866769
fold_state_stratified,5,ElasticNetStack,pred__B05_C3_PLS,coefficient,0.06477318857790039
fold_state_stratified,5,ElasticNetStack,pred__B06_C2_PLS,coefficient,0.0
