protocol,representation,model,fold,candidate,params_json,inner_rmse_mean,inner_rmse_std,rank
fold_state_stratified,C0_base,PLS,2,3,"{""n_components"": 12}",0.6242168055159384,0.07901473393071329,3
fold_state_stratified,C0_base,PLS,2,4,"{""n_components"": 20}",0.626955417685311,0.07602343751125173,5
fold_state_stratified,C0_base,PCA_RBF,2,0,"{""alpha"": 1.0, ""gamma"": 0.1, ""n_components"": 8}",4.0208664481096035,0.08424800672343152,3
fold_state_stratified,C0_base,PCA_RBF,2,1,"{""alpha"": 1.0, ""gamma"": 0.05, ""n_components"": 16}",4.021245895624606,0.08434389862362783,4
fold_state_stratified,C0_base,PCA_RBF,2,2,"{""alpha"": 1.0, ""gamma"": 0.02, ""n_components"": 24}",4.00970539572869,0.08532090212740913,1
fold_state_stratified,C0_base,PCA_RBF,2,3,"{""alpha"": 0.1, ""gamma"": 0.05, ""n_components"": 16}",4.020140740856197,0.08470811381754667,2
fold_state_stratified,C0_base,PCA_RBF,2,4,"{""alpha"": 10.0, ""gamma"": 0.05, ""n_components"": 16}",4.022361505818168,0.08397496233237696,5
fold_state_stratified,C0_base,PCA_RBF,2,5,"{""alpha"": 1.0, ""gamma"": 0.1, ""n_components"": 24}",4.022606895601135,0.08389705186257577,6
fold_state_stratified,C0_base,PCA_Poly2,2,0,"{""alpha"": 1.0, ""gamma"": 0.1, ""n_components"": 8}",0.7485899085311557,0.10471831485614394,1
fold_state_stratified,C0_base,PCA_Poly2,2,1,"{""alpha"": 1.0, ""gamma"": 0.05, ""n_components"": 16}",2.028971844993039,0.11998158073228056,5
fold_state_stratified,C0_base,PCA_Poly2,2,2,"{""alpha"": 1.0, ""gamma"": 0.02, ""n_components"": 24}",1.5405066936842866,0.049766805280197855,2
fold_state_stratified,C0_base,PCA_Poly2,2,3,"{""alpha"": 0.1, ""gamma"": 0.05, ""n_components"": 16}",2.039504865018175,0.12567382120761775,6
fold_state_stratified,C0_base,PCA_Poly2,2,4,"{""alpha"": 10.0, ""gamma"": 0.05, ""n_components"": 16}",1.9476900467631069,0.0749597771067339,4
fold_state_stratified,C0_base,PCA_Poly2,2,5,"{""alpha"": 1.0, ""gamma"": 0.1, ""n_components"": 24}",1.840834955075069,0.06537163469336285,3
fold_state_stratified,C0_base,Ridge,3,0,"{""alpha"": 0.1}",0.6056984528988856,0.09154197442784445,5
fold_state_stratified,C0_base,Ridge,3,1,"{""alpha"": 1.0}",0.6040299167222279,0.09240185151237035,4
fold_state_stratified,C0_base,Ridge,3,2,"{""alpha"": 10.0}",0.5894847390140133,0.10002653834881237,3
fold_state_stratified,C0_base,Ridge,3,3,"{""alpha"": 100.0}",0.5327594576332199,0.13196757307202583,2
fold_state_stratified,C0_base,Ridge,3,4,"{""alpha"": 1000.0}",0.5186543486543037,0.1605216148533555,1
fold_state_stratified,C0_base,Ridge,3,5,"{""alpha"": 10000.0}",0.6299784512044907,0.16821768014971508,6
fold_state_stratified,C0_base,ElasticNet,3,0,"{""alpha"": 0.001, ""l1_ratio"": 0.1}",0.6293046275871018,0.0563637483966964,5
fold_state_stratified,C0_base,ElasticNet,3,1,"{""alpha"": 0.01, ""l1_ratio"": 0.1}",0.612377990334552,0.0583350863463012,3
fold_state_stratified,C0_base,ElasticNet,3,2,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",0.6235899203235417,0.059203850310045915,4
