protocol,representation,model,fold,n_features,n_primitives,n_discovered,n_train,n_validation,inner_best_rmse,best_params_json,catboost_task_type,elapsed_seconds,rmse,mae,r2
fold_municipality_grouped,C0_base,ExtraTrees,2,1400,0,0,122,16,0.5584819245065147,"{""max_features"": 0.3, ""min_samples_leaf"": 2}",,4.070255799917504,1.268885399987242,1.1895453125000008,-8.12099934775394
fold_municipality_grouped,C0_base,CatBoost,2,1400,0,0,122,16,0.7013204734394544,"{""depth"": 5, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.06}",GPU,42.38493630010635,1.2238503169330033,1.1560487428581625,-7.485046628762895
fold_municipality_grouped,C0_base,PLS,2,1400,0,0,122,16,0.5746165094058516,"{""n_components"": 2}",,0.5661987999919802,0.8972482816202668,0.7380665898716776,-3.5606095727119618
fold_municipality_grouped,C0_base,PCA_RBF,2,1400,0,0,122,16,3.93414546853851,"{""alpha"": 1.0, ""gamma"": 0.1, ""n_components"": 8}",,0.9288043000269681,3.1097628526836503,3.081249999989282,-53.78380172565557
fold_municipality_grouped,C0_base,PCA_Poly2,2,1400,0,0,122,16,1.5765675012866662,"{""alpha"": 1.0, ""gamma"": 0.1, ""n_components"": 8}",,0.9101820001378655,0.7355959007712709,0.5933547616187838,-2.065322865307886
fold_municipality_grouped,C0_base,Ridge,3,1400,0,0,128,10,0.8272356780479599,"{""alpha"": 1000.0}",,0.5092142999637872,0.46293150757630547,0.42109690245542203,-5.703543454811557
fold_municipality_grouped,C0_base,ElasticNet,3,1400,0,0,128,10,0.736557732892304,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",,2.3370617998298258,0.7868025141321159,0.7747775168168116,-18.36432782522499
fold_municipality_grouped,C0_base,ExtraTrees,3,1400,0,0,128,10,0.660518813197461,"{""max_features"": 0.3, ""min_samples_leaf"": 2}",,4.297755000181496,0.9849389612961652,0.9721850000000012,-29.34517055519934
fold_municipality_grouped,C0_base,CatBoost,3,1400,0,0,128,10,0.7944695748409342,"{""depth"": 4, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.03}",GPU,43.22705109999515,0.7577671753165514,0.7108341529916365,-16.96149682464964
fold_municipality_grouped,C0_base,PLS,3,1400,0,0,128,10,0.7890372168343539,"{""n_components"": 2}",,0.537714899983257,0.45594315462763507,0.3876945905576751,-5.502679478613635
