protocol,representation,model,kind,fold,n_features,n_primitives,n_discovered,n_train,n_validation,inner_best_rmse,best_params_json,compute,elapsed_seconds,rmse,mae,r2
fold_municipality_grouped,G3_all_deterministic,CatBoostLarge,catboost,3,2085,0,0,128,10,0.7514809938768829,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",GPU,430.8823826999869,0.7450270678943401,0.6565937500066276,-16.362611651763803
fold_municipality_grouped,G3_all_deterministic,CatBoostLarge,catboost,4,2085,0,0,65,73,0.9481798354003566,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",GPU,222.3768428999465,0.9879744450268759,0.8920585970876733,-1.7344271262850084
fold_municipality_grouped,G3_all_deterministic,CatBoostLarge,catboost,5,2085,0,0,132,6,0.9639779585815962,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",GPU,429.36566350003704,0.5824671608327161,0.48691249379930185,0.45842525688752245
fold_state_stratified,G0_base,XGBoostLarge,xgboost,1,1400,0,0,110,28,0.5118917534187253,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 3.0, ""n_estimators"": 1500, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""subsample"": 0.85}",GPU,22.293352799955755,0.6034283486908485,0.40709057092666623,0.5137364134283524
fold_state_stratified,G0_base,XGBoostLarge,xgboost,2,1400,0,0,110,28,0.5150633133934909,"{""colsample_bytree"": 0.65, ""learning_rate"": 0.012, ""max_depth"": 3, ""min_child_weight"": 5.0, ""n_estimators"": 2500, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.85}",GPU,24.400631000055,0.5499789895567286,0.42454637323107036,0.5323121336372655
fold_state_stratified,G0_base,XGBoostLarge,xgboost,3,1400,0,0,110,28,0.6091338495497273,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 8.0, ""n_estimators"": 2500, ""reg_alpha"": 0.3, ""reg_lambda"": 30.0, ""subsample"": 0.85}",GPU,24.98251030012034,0.4519119398720547,0.36049079145704,0.7123762745232043
fold_state_stratified,G0_base,XGBoostLarge,xgboost,4,1400,0,0,111,27,0.5074182379553805,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 8.0, ""n_estimators"": 2500, ""reg_alpha"": 0.3, ""reg_lambda"": 30.0, ""subsample"": 0.85}",GPU,25.424781900132075,0.6005944129180032,0.40027328879744917,0.5149795301565174
fold_state_stratified,G0_base,XGBoostLarge,xgboost,5,1400,0,0,111,27,0.5352162260767365,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 8.0, ""n_estimators"": 2500, ""reg_alpha"": 0.3, ""reg_lambda"": 30.0, ""subsample"": 0.85}",GPU,24.741308799944818,0.4898293086311387,0.3691107891224049,0.6608005537154857
fold_municipality_grouped,G0_base,XGBoostLarge,xgboost,1,1400,0,0,105,33,0.8591612606970771,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 3.0, ""n_estimators"": 1500, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""subsample"": 0.85}",GPU,20.65998759982176,0.4970549020229691,0.38950553807345306,-0.7414384068329709
fold_municipality_grouped,G0_base,XGBoostLarge,xgboost,2,1400,0,0,122,16,0.7561914259160286,"{""colsample_bytree"": 0.65, ""learning_rate"": 0.012, ""max_depth"": 3, ""min_child_weight"": 5.0, ""n_estimators"": 2500, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.85}",GPU,23.805955599993467,1.182030838389091,1.0587863743305206,-6.915078715271549
fold_municipality_grouped,G0_base,XGBoostLarge,xgboost,3,1400,0,0,128,10,0.7848936870820276,"{""colsample_bytree"": 0.65, ""learning_rate"": 0.012, ""max_depth"": 3, ""min_child_weight"": 5.0, ""n_estimators"": 2500, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.85}",GPU,25.42686549993232,0.5951345078630983,0.5166781148910522,-10.07901662389977
fold_municipality_grouped,G0_base,XGBoostLarge,xgboost,4,1400,0,0,65,73,0.9365448530229011,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 3.0, ""n_estimators"": 1500, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""subsample"": 0.85}",GPU,17.201104500098154,1.0111636619157358,0.8882645156285532,-1.8642956223910243
