protocol,representation,model,fold,candidate,params_json,inner_rmse_mean,inner_rmse_std,rank
fold_state_stratified,G1_agronomic,CatBoostLarge,2,1,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",0.5083393164295088,0.07582196164772423,3
fold_state_stratified,G1_agronomic,CatBoostLarge,2,2,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",0.5014776920017817,0.08276315341046846,2
fold_state_stratified,G1_agronomic,CatBoostLarge,3,0,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",0.6227403084198718,0.06492626631343654,1
fold_state_stratified,G1_agronomic,CatBoostLarge,3,1,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",0.6250507818249104,0.07882723521696972,3
fold_state_stratified,G1_agronomic,CatBoostLarge,3,2,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",0.6229285206768672,0.08526600382138327,2
fold_state_stratified,G1_agronomic,CatBoostLarge,4,0,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",0.5201464251645165,0.08141694332673106,3
fold_state_stratified,G1_agronomic,CatBoostLarge,4,1,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",0.5099972168096182,0.0841537626372668,1
fold_state_stratified,G1_agronomic,CatBoostLarge,4,2,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",0.5153876977647202,0.08798181684556369,2
fold_state_stratified,G1_agronomic,CatBoostLarge,5,0,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",0.5513999331659253,0.0899238325375229,3
fold_state_stratified,G1_agronomic,CatBoostLarge,5,1,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",0.5478395749676993,0.09309845494573021,2
fold_state_stratified,G1_agronomic,CatBoostLarge,5,2,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",0.539484401352709,0.09572511173841675,1
fold_municipality_grouped,G1_agronomic,CatBoostLarge,1,0,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",0.8496237855361496,0.30899728345558775,3
fold_municipality_grouped,G1_agronomic,CatBoostLarge,1,1,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",0.8382170159779078,0.3034584660614973,1
fold_municipality_grouped,G1_agronomic,CatBoostLarge,1,2,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",0.8384325072588116,0.3033306918218202,2
fold_municipality_grouped,G1_agronomic,CatBoostLarge,2,0,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",0.7305746639895387,0.14464758117443535,2
fold_municipality_grouped,G1_agronomic,CatBoostLarge,2,1,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",0.7353395817370934,0.17759697970083782,3
fold_municipality_grouped,G1_agronomic,CatBoostLarge,2,2,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",0.727686420025662,0.1940617875474289,1
fold_municipality_grouped,G1_agronomic,CatBoostLarge,3,0,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",0.6982928859650981,0.1865045064990414,1
fold_municipality_grouped,G1_agronomic,CatBoostLarge,3,1,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",0.7409705231048608,0.1739994350585359,2
fold_municipality_grouped,G1_agronomic,CatBoostLarge,3,2,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",0.7850724869705897,0.18888157217379145,3
fold_municipality_grouped,G1_agronomic,CatBoostLarge,4,0,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",1.114959271554808,0.34510459954197864,3
fold_municipality_grouped,G1_agronomic,CatBoostLarge,4,1,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",1.1040272669374742,0.35507980093069225,1
fold_municipality_grouped,G1_agronomic,CatBoostLarge,4,2,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",1.1068789185428363,0.30932387049788784,2
fold_municipality_grouped,G1_agronomic,CatBoostLarge,5,0,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",0.9661041928618349,0.1690396632376411,1
fold_municipality_grouped,G1_agronomic,CatBoostLarge,5,1,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",1.0094261678275582,0.17540810806525228,3
fold_municipality_grouped,G1_agronomic,CatBoostLarge,5,2,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",1.0007393151433368,0.1776817922359485,2
fold_state_stratified,G2_base_agro,CatBoostLarge,1,0,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",0.5017766764156801,0.09532713876052777,3
fold_state_stratified,G2_base_agro,CatBoostLarge,1,1,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",0.4998748542961457,0.08755696674762166,2
fold_state_stratified,G2_base_agro,CatBoostLarge,1,2,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",0.49636744418112944,0.09287119907107037,1
fold_state_stratified,G2_base_agro,CatBoostLarge,2,0,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",0.5115736382197977,0.0341741045533879,3
fold_state_stratified,G2_base_agro,CatBoostLarge,2,1,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",0.4962551870564081,0.06219293787167585,1
fold_state_stratified,G2_base_agro,CatBoostLarge,2,2,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",0.4995683673913259,0.07027837002521613,2
fold_state_stratified,G2_base_agro,CatBoostLarge,3,0,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",0.6117271614717861,0.07073647100431905,1
fold_state_stratified,G2_base_agro,CatBoostLarge,3,1,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",0.6193846044842493,0.07489371856029557,2
fold_state_stratified,G2_base_agro,CatBoostLarge,3,2,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",0.6222810382262168,0.07906182422322937,3
fold_state_stratified,G2_base_agro,CatBoostLarge,4,0,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",0.4990197104270752,0.06512962531111494,2
fold_state_stratified,G2_base_agro,CatBoostLarge,4,1,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",0.4983496330363428,0.07364212585604107,1
fold_state_stratified,G2_base_agro,CatBoostLarge,4,2,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",0.501448835414711,0.0808958221219427,3
fold_state_stratified,G2_base_agro,CatBoostLarge,5,0,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",0.5465928684715057,0.0694072887694555,3
fold_state_stratified,G2_base_agro,CatBoostLarge,5,1,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",0.5382660088788768,0.09271885476926668,2
fold_state_stratified,G2_base_agro,CatBoostLarge,5,2,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",0.5297119254333748,0.0993404505502189,1
fold_municipality_grouped,G2_base_agro,CatBoostLarge,1,0,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",0.865324534973583,0.2728707387760433,3
fold_municipality_grouped,G2_base_agro,CatBoostLarge,1,1,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",0.8413177661357435,0.2966787733361259,1
fold_municipality_grouped,G2_base_agro,CatBoostLarge,1,2,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",0.8491871610701706,0.2894520798131035,2
fold_municipality_grouped,G2_base_agro,CatBoostLarge,2,0,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",0.7433879273860078,0.10926283926454378,3
fold_municipality_grouped,G2_base_agro,CatBoostLarge,2,1,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",0.7286137839032416,0.1609573886349872,2
fold_municipality_grouped,G2_base_agro,CatBoostLarge,2,2,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",0.7236339933670988,0.17853864325171137,1
fold_municipality_grouped,G2_base_agro,CatBoostLarge,3,0,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",0.7381800744879632,0.2189403630147467,1
fold_municipality_grouped,G2_base_agro,CatBoostLarge,3,1,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",0.7879643049675423,0.1824412031555773,2
fold_municipality_grouped,G2_base_agro,CatBoostLarge,3,2,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",0.8306129526880426,0.23198245200773612,3
fold_municipality_grouped,G2_base_agro,CatBoostLarge,4,0,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""random_strength"": 0.2}",0.9559733712489086,0.37993268497472427,2
fold_municipality_grouped,G2_base_agro,CatBoostLarge,4,1,"{""depth"": 5, ""iterations"": 2500, ""l2_leaf_reg"": 12.0, ""learning_rate"": 0.015, ""random_strength"": 1.0}",0.9382377865453378,0.3616159879017113,1
fold_municipality_grouped,G2_base_agro,CatBoostLarge,4,2,"{""depth"": 6, ""iterations"": 2500, ""l2_leaf_reg"": 20.0, ""learning_rate"": 0.01, ""random_strength"": 1.0}",0.9651706360921475,0.3415537693178307,3
