protocol,outer_fold,stage,candidate,level1_fold,candidate_index,mean_test_rmse,std_test_rmse,rank_test_score,params_json
fold_state_stratified,1,outer_refit,B03_C1_CatBoost,,1,0.4984537623616349,0.04769607537054793,1,"{""model__depth"": 4, ""model__l2_leaf_reg"": 6.0, ""model__learning_rate"": 0.06}"
fold_state_stratified,1,outer_refit,B03_C1_CatBoost,,2,0.5207380703688153,0.0512394295808407,6,"{""model__depth"": 5, ""model__l2_leaf_reg"": 10.0, ""model__learning_rate"": 0.03}"
fold_state_stratified,1,outer_refit,B03_C1_CatBoost,,3,0.5042875522441622,0.047677866397093406,3,"{""model__depth"": 5, ""model__l2_leaf_reg"": 3.0, ""model__learning_rate"": 0.06}"
fold_state_stratified,1,outer_refit,B03_C1_CatBoost,,4,0.5126682900857088,0.0449042878764423,4,"{""model__depth"": 6, ""model__l2_leaf_reg"": 6.0, ""model__learning_rate"": 0.03}"
fold_state_stratified,1,outer_refit,B03_C1_CatBoost,,5,0.519862095578495,0.05461529643473583,5,"{""model__depth"": 6, ""model__l2_leaf_reg"": 10.0, ""model__learning_rate"": 0.06}"
fold_state_stratified,1,level1_crossfit,B04_C0_Ridge,1.0,0,0.7647590058233804,0.04453460225210437,6,"{""model__alpha"": 0.1}"
fold_state_stratified,1,level1_crossfit,B04_C0_Ridge,1.0,1,0.7637324029224181,0.04394818964304803,5,"{""model__alpha"": 1.0}"
fold_state_stratified,1,level1_crossfit,B04_C0_Ridge,1.0,2,0.7540542576528053,0.03845337604688731,4,"{""model__alpha"": 10.0}"
fold_state_stratified,1,level1_crossfit,B04_C0_Ridge,1.0,3,0.6930155051962859,0.004888147084078864,2,"{""model__alpha"": 100.0}"
fold_state_stratified,1,level1_crossfit,B04_C0_Ridge,1.0,4,0.6095653853495615,0.04706766875113649,1,"{""model__alpha"": 1000.0}"
fold_state_stratified,1,level1_crossfit,B04_C0_Ridge,1.0,5,0.7210874539645165,0.026897426723654416,3,"{""model__alpha"": 10000.0}"
fold_state_stratified,1,level1_crossfit,B04_C0_Ridge,2.0,0,0.5740548949059163,0.0043591675609716,5,"{""model__alpha"": 0.1}"
fold_state_stratified,1,level1_crossfit,B04_C0_Ridge,2.0,1,0.573711103864921,0.004449862077559097,4,"{""model__alpha"": 1.0}"
