family,split_id,method,rmse,mae,r2
target_matched,target_matched_16,E123_PLS_Ridge_CatBoost,0.39324872793569043,0.2848093334758841,0.771667501305021
target_matched,target_matched_16,LocalE13_w0p10,0.39780952937311503,0.2950866578949419,0.7663405011500533
target_matched,target_matched_16,LocalE13_w0p20,0.39221395270908316,0.28960760459471907,0.7728675659868738
target_matched,target_matched_16,LocalE13_w0p30,0.38768346867350695,0.28566272177607277,0.7780844978570516
target_matched,target_matched_16,LocalE123_w0p10,0.3985950512431799,0.2955361430387563,0.7654168135648468
target_matched,target_matched_16,LocalE123_w0p20,0.39374870645483884,0.2909843974748671,0.7710865259114568
target_matched,target_matched_16,LocalE123_w0p30,0.38992367155863744,0.28776513015369726,0.7755124403864191
target_matched,target_matched_16,ConvexStack,0.3842753134660434,0.2874134501113443,0.781969100067637
target_matched,target_matched_16,RidgeStack,0.3970739601606354,0.2989134204987624,0.767203797880509
target_matched,target_matched_16,ElasticNetStack,0.39764179127997384,0.2993630364556632,0.7665375066655757
target_matched,target_matched_16,HuberStack,0.3698167378655293,0.2790556224959742,0.7980675087919322
target_matched,target_matched_16,ExtraTreesStack,0.3670257803051823,0.2594608826125493,0.8011039228051126
target_matched,target_matched_16,HistGBStack,0.3925226723830399,0.2860489346942479,0.7725098640385606
target_matched,target_matched_16,MoE_Support,0.39566292381864815,0.29308810074785185,0.7688553806410054
state_random,state_random_01,PLS_C0,0.5366413062543307,0.4334613365806204,0.6508946830783015
state_random,state_random_01,Ridge_C3,0.4846163742248654,0.3832947275371676,0.7153019876317848
state_random,state_random_01,CatBoost_C1,0.4558674089462108,0.36000567704909936,0.7480784288223739
state_random,state_random_01,ExtraTrees_C1,0.4555730487960845,0.35498500943670197,0.7484036625564143
state_random,state_random_01,Local04D,0.4279671394552977,0.3334617529395418,0.7779713005872416
state_random,state_random_01,Graph04D,0.4278091925081425,0.31971214573634615,0.7781351556159392
state_random,state_random_01,E13_PLS_CatBoost,0.4809333543101238,0.38426859506644634,0.7196128780205513
state_random,state_random_01,E123_PLS_Ridge_CatBoost,0.4772375196236784,0.37446989573559275,0.7239057088024718
state_random,state_random_01,LocalE13_w0p10,0.42869511150798706,0.33509798935359414,0.7772153165873307
state_random,state_random_01,LocalE13_w0p20,0.4305047521592871,0.33673422576764633,0.7753304751970291
state_random,state_random_01,LocalE13_w0p30,0.4333825117101538,0.3392968579472546,0.7723167764163367
state_random,state_random_01,LocalE123_w0p10,0.42896641782273426,0.3354967349124624,0.7769332419103684
state_random,state_random_01,LocalE123_w0p20,0.43089362573306106,0.33753171688538325,0.7749244053442498
state_random,state_random_01,LocalE123_w0p30,0.43373639423812943,0.3405151095164268,0.7719447908888859
state_random,state_random_01,ConvexStack,0.42719557724417173,0.3281517604588343,0.7787711495287519
state_random,state_random_01,RidgeStack,0.42291201614526863,0.32899953334717036,0.7831855032324495
state_random,state_random_01,ElasticNetStack,0.42306780485321793,0.32879200613859133,0.7830257372749287
state_random,state_random_01,HuberStack,0.40515510632727586,0.31560335620347807,0.8010101609085185
state_random,state_random_01,ExtraTreesStack,0.43015022999161673,0.321452088710292,0.7757003551130207
state_random,state_random_01,HistGBStack,0.5026223535473152,0.40651996667011964,0.6937529838244848
state_random,state_random_01,MoE_Support,0.444923455385161,0.34807558060756333,0.7600289399778728
state_random,state_random_02,PLS_C0,0.45365091826920423,0.3644849076516716,0.7160664537763104
state_random,state_random_02,Ridge_C3,0.45810224122160365,0.37051501414997084,0.7104670794800951
state_random,state_random_02,CatBoost_C1,0.4285086968353823,0.3149511099412318,0.7466666306750122
state_random,state_random_02,ExtraTrees_C1,0.4020237271293625,0.31201575977545465,0.7770145688415487
state_random,state_random_02,Local04D,0.412197271267607,0.3233568279197938,0.7655861094328137
state_random,state_random_02,Graph04D,0.4185589062679119,0.3225032470541896,0.7582946335239831
state_random,state_random_02,E13_PLS_CatBoost,0.4151414896518116,0.3214997493595261,0.76222543447545
state_random,state_random_02,E123_PLS_Ridge_CatBoost,0.42609399322599467,0.335745964776958,0.7495137207333574
state_random,state_random_02,LocalE13_w0p10,0.40771717731047785,0.3208544513394255,0.7706540181040112
state_random,state_random_02,LocalE13_w0p20,0.40426528513659094,0.3188757322441268,0.7745210431825568
state_random,state_random_02,LocalE13_w0p30,0.4018680911917464,0.31696411708971745,0.7771871846684504
state_random,state_random_02,LocalE123_w0p10,0.4088314656884286,0.3216469919671787,0.7693987029249101
state_random,state_random_02,LocalE123_w0p20,0.40651287316400847,0.3206958083840261,0.7720068892254416
state_random,state_random_02,LocalE123_w0p30,0.4052594682099191,0.3205612373452791,0.7734106683344082
state_random,state_random_02,ConvexStack,0.4061394713394448,0.31963743860975175,0.7724255423592059
state_random,state_random_02,RidgeStack,0.3987912408755276,0.31706987570574563,0.7805859975612612
state_random,state_random_02,ElasticNetStack,0.41317618085124663,0.32382236867670033,0.7644713884035697
state_random,state_random_02,HuberStack,0.3987847062922223,0.31966830993202383,0.7805931881270681
state_random,state_random_02,ExtraTreesStack,0.42700060792553945,0.3443166021191724,0.748446650345942
state_random,state_random_02,HistGBStack,0.45748620687989167,0.383062487643016,0.7112452563999838
state_random,state_random_02,MoE_Support,0.40665432087652575,0.33018148741665193,0.7718481994681534
state_random,state_random_03,PLS_C0,0.5306412324576526,0.42491393761217355,0.6207149168409092
state_random,state_random_03,Ridge_C3,0.5073967412207128,0.39813645330920494,0.6532159422375647
state_random,state_random_03,CatBoost_C1,0.4986621446444522,0.3891010221308846,0.6650526255716999
state_random,state_random_03,ExtraTrees_C1,0.47241824501272045,0.3738923478029425,0.6993805328805891
state_random,state_random_03,Local04D,0.4792622516384976,0.36165239685686373,0.6906071846581672
state_random,state_random_03,Graph04D,0.47767134820877283,0.3510104836780137,0.6926578245362385
state_random,state_random_03,E13_PLS_CatBoost,0.49363639690073496,0.3964854100470219,0.6717701122862626
state_random,state_random_03,E123_PLS_Ridge_CatBoost,0.491971898011842,0.3915418983991908,0.673979905503691
state_random,state_random_03,LocalE13_w0p10,0.47574613841229035,0.3581897523909247,0.6951302599341935
state_random,state_random_03,LocalE13_w0p20,0.4733217120413729,0.35855445724961954,0.6982296057628383
