protocol,fold,rank,operation,left,right,formula,abs_spearman_train,signed_spearman_train,expression_key
fold_state_stratified,5,1,reverse_safe_ratio,soilgrids__soc__depth_weighted_0_30cm,clim_official_2025__prec__season_sum,(clim_official_2025__prec__season_sum) / (abs(soilgrids__soc__depth_weighted_0_30cm) + eps),0.722602160280277,-0.722602160280277,reverse_safe_ratio::soilgrids__soc__depth_weighted_0_30cm::clim_official_2025__prec__season_sum
fold_state_stratified,5,2,safe_ratio,soilgrids__soc__depth_weighted_0_30cm,clim_official_2025__prec__season_sum,(soilgrids__soc__depth_weighted_0_30cm) / (abs(clim_official_2025__prec__season_sum) + eps),0.722602160280277,0.722602160280277,safe_ratio::soilgrids__soc__depth_weighted_0_30cm::clim_official_2025__prec__season_sum
fold_state_stratified,5,3,symmetric_change,soilgrids__soc__depth_weighted_0_30cm,clim_official_2025__prec__season_sum,2*((soilgrids__soc__depth_weighted_0_30cm)-(clim_official_2025__prec__season_sum)) / (abs(soilgrids__soc__depth_weighted_0_30cm)+abs(clim_official_2025__prec__season_sum)+eps),0.722602160280277,0.722602160280277,symmetric_change::soilgrids__soc__depth_weighted_0_30cm::clim_official_2025__prec__season_sum
fold_state_stratified,5,4,symmetric_change,siap_hist__yield_trend_recent,agro_water__2025__precip_minus_aeti_season,2*((siap_hist__yield_trend_recent)-(agro_water__2025__precip_minus_aeti_season)) / (abs(siap_hist__yield_trend_recent)+abs(agro_water__2025__precip_minus_aeti_season)+eps),0.7146744100822002,0.7146744100822002,symmetric_change::siap_hist__yield_trend_recent::agro_water__2025__precip_minus_aeti_season
fold_state_stratified,5,5,reverse_safe_ratio,siap_hist__yield_trend_recent,agro_thermal__2025__gdd_proxy_base5p0c,(agro_thermal__2025__gdd_proxy_base5p0c) / (abs(siap_hist__yield_trend_recent) + eps),0.7132018223301518,-0.7132018223301518,reverse_safe_ratio::siap_hist__yield_trend_recent::agro_thermal__2025__gdd_proxy_base5p0c
fold_state_stratified,5,6,symmetric_change,siap_hist__yield_trend_recent,clim_official_2025__prec__season_sum,2*((siap_hist__yield_trend_recent)-(clim_official_2025__prec__season_sum)) / (abs(siap_hist__yield_trend_recent)+abs(clim_official_2025__prec__season_sum)+eps),0.7050773099352333,0.7050773099352333,symmetric_change::siap_hist__yield_trend_recent::clim_official_2025__prec__season_sum
fold_state_stratified,5,7,reverse_safe_ratio,siap_hist__yield_trend_recent,clim_official_2025__prec__season_sum,(clim_official_2025__prec__season_sum) / (abs(siap_hist__yield_trend_recent) + eps),0.7047436087141934,-0.7047436087141934,reverse_safe_ratio::siap_hist__yield_trend_recent::clim_official_2025__prec__season_sum
fold_state_stratified,5,8,reverse_safe_ratio,siap_hist__yield_trend_recent,agro_water__2025__precip_minus_aeti_season,(agro_water__2025__precip_minus_aeti_season) / (abs(siap_hist__yield_trend_recent) + eps),0.6970230781788282,-0.6970230781788282,reverse_safe_ratio::siap_hist__yield_trend_recent::agro_water__2025__precip_minus_aeti_season
fold_state_stratified,5,9,reverse_safe_ratio,siap_hist__yield_trend_recent,soilgrids__cec__depth_weighted_0_30cm,(soilgrids__cec__depth_weighted_0_30cm) / (abs(siap_hist__yield_trend_recent) + eps),0.696111236529162,-0.696111236529162,reverse_safe_ratio::siap_hist__yield_trend_recent::soilgrids__cec__depth_weighted_0_30cm
fold_state_stratified,5,10,reverse_safe_ratio,siap_hist__yield_trend_recent,siap_hist__yield_mean_recent,(siap_hist__yield_mean_recent) / (abs(siap_hist__yield_trend_recent) + eps),0.695624852036423,-0.695624852036423,reverse_safe_ratio::siap_hist__yield_trend_recent::siap_hist__yield_mean_recent
fold_state_stratified,5,11,symmetric_change,siap_hist__yield_trend_recent,soilgrids__cec__depth_weighted_0_30cm,2*((siap_hist__yield_trend_recent)-(soilgrids__cec__depth_weighted_0_30cm)) / (abs(siap_hist__yield_trend_recent)+abs(soilgrids__cec__depth_weighted_0_30cm)+eps),0.6840503931612463,0.6840503931612463,symmetric_change::siap_hist__yield_trend_recent::soilgrids__cec__depth_weighted_0_30cm
fold_state_stratified,5,12,symmetric_change,siap_hist__yield_trend_recent,siap_hist__yield_mean_recent,2*((siap_hist__yield_trend_recent)-(siap_hist__yield_mean_recent)) / (abs(siap_hist__yield_trend_recent)+abs(siap_hist__yield_mean_recent)+eps),0.6827766670001975,0.6827766670001975,symmetric_change::siap_hist__yield_trend_recent::siap_hist__yield_mean_recent
fold_state_stratified,5,13,reverse_safe_ratio,clim_official_2025__prec__season_sum,agro_soil__soc_x_cec,(agro_soil__soc_x_cec) / (abs(clim_official_2025__prec__season_sum) + eps),0.6740773856110372,0.6740773856110372,reverse_safe_ratio::clim_official_2025__prec__season_sum::agro_soil__soc_x_cec
fold_state_stratified,5,14,safe_ratio,clim_official_2025__prec__season_sum,agro_soil__soc_x_cec,(clim_official_2025__prec__season_sum) / (abs(agro_soil__soc_x_cec) + eps),0.6740773856110372,-0.6740773856110372,safe_ratio::clim_official_2025__prec__season_sum::agro_soil__soc_x_cec
fold_state_stratified,5,15,symmetric_change,clim_official_2025__prec__season_sum,agro_soil__soc_x_cec,2*((clim_official_2025__prec__season_sum)-(agro_soil__soc_x_cec)) / (abs(clim_official_2025__prec__season_sum)+abs(agro_soil__soc_x_cec)+eps),0.6740773856110372,-0.6740773856110372,symmetric_change::clim_official_2025__prec__season_sum::agro_soil__soc_x_cec
fold_state_stratified,5,16,symmetric_change,siap_hist__yield_trend_recent,agro_thermal__2025__gdd_proxy_base5p0c,2*((siap_hist__yield_trend_recent)-(agro_thermal__2025__gdd_proxy_base5p0c)) / (abs(siap_hist__yield_trend_recent)+abs(agro_thermal__2025__gdd_proxy_base5p0c)+eps),0.661647208354292,0.661647208354292,symmetric_change::siap_hist__yield_trend_recent::agro_thermal__2025__gdd_proxy_base5p0c
