protocol,expression_key,operation,left,right,formula,selected_folds,selection_rate,mean_rank,mean_abs_spearman_train,mean_signed_spearman_train,direction_consistency
fold_municipality_grouped,safe_ratio::clim_official_2025__prec__season_sum::soilgrids__nitrogen__depth_weighted_0_30cm,safe_ratio,clim_official_2025__prec__season_sum,soilgrids__nitrogen__depth_weighted_0_30cm,(clim_official_2025__prec__season_sum) / (abs(soilgrids__nitrogen__depth_weighted_0_30cm) + eps),2,0.4,14.5,0.5736066083257763,-0.5736066083257763,1.0
fold_municipality_grouped,reverse_safe_ratio::siap_hist__yield_trend_recent::agro_water__2025__precip_minus_aeti_season,reverse_safe_ratio,siap_hist__yield_trend_recent,agro_water__2025__precip_minus_aeti_season,(agro_water__2025__precip_minus_aeti_season) / (abs(siap_hist__yield_trend_recent) + eps),2,0.4,15.5,0.6996107912721974,-0.6996107912721974,1.0
fold_municipality_grouped,symmetric_change::clim_official_2025__prec__season_sum::soilgrids__nitrogen__depth_weighted_0_30cm,symmetric_change,clim_official_2025__prec__season_sum,soilgrids__nitrogen__depth_weighted_0_30cm,2*((clim_official_2025__prec__season_sum)-(soilgrids__nitrogen__depth_weighted_0_30cm)) / (abs(clim_official_2025__prec__season_sum)+abs(soilgrids__nitrogen__depth_weighted_0_30cm)+eps),2,0.4,15.5,0.5736066083257763,-0.5736066083257763,1.0
fold_municipality_grouped,reverse_safe_ratio::siap_hist__yield_trend_recent::soilgrids__cec__depth_weighted_0_30cm,reverse_safe_ratio,siap_hist__yield_trend_recent,soilgrids__cec__depth_weighted_0_30cm,(soilgrids__cec__depth_weighted_0_30cm) / (abs(siap_hist__yield_trend_recent) + eps),2,0.4,16.0,0.6976545745910001,-0.6976545745910001,1.0
fold_municipality_grouped,reverse_safe_ratio::agro_pheno__y2025_s2_ndvi__auc::soilgrids__cec__depth_weighted_0_30cm,reverse_safe_ratio,agro_pheno__y2025_s2_ndvi__auc,soilgrids__cec__depth_weighted_0_30cm,(soilgrids__cec__depth_weighted_0_30cm) / (abs(agro_pheno__y2025_s2_ndvi__auc) + eps),1,0.2,1.0,0.5660797840472358,-0.5660797840472358,1.0
fold_municipality_grouped,reverse_safe_ratio::clim_official_2025__prec__season_sum::soilgrids__soc__depth_weighted_0_30cm,reverse_safe_ratio,clim_official_2025__prec__season_sum,soilgrids__soc__depth_weighted_0_30cm,(soilgrids__soc__depth_weighted_0_30cm) / (abs(clim_official_2025__prec__season_sum) + eps),1,0.2,1.0,0.5012625826870797,0.5012625826870797,1.0
fold_municipality_grouped,product::siap_hist__yield_trend_recent::siap_hist__yield_mean_recent,product,siap_hist__yield_trend_recent,siap_hist__yield_mean_recent,(siap_hist__yield_trend_recent) * (siap_hist__yield_mean_recent),1,0.2,2.0,0.7348898158937808,0.7348898158937808,1.0
fold_municipality_grouped,safe_ratio::agro_pheno__y2025_s2_ndvi__auc::soilgrids__cec__depth_weighted_0_30cm,safe_ratio,agro_pheno__y2025_s2_ndvi__auc,soilgrids__cec__depth_weighted_0_30cm,(agro_pheno__y2025_s2_ndvi__auc) / (abs(soilgrids__cec__depth_weighted_0_30cm) + eps),1,0.2,2.0,0.5660797840472358,0.5660797840472358,1.0
fold_municipality_grouped,safe_ratio::clim_official_2025__prec__season_sum::soilgrids__soc__depth_weighted_0_30cm,safe_ratio,clim_official_2025__prec__season_sum,soilgrids__soc__depth_weighted_0_30cm,(clim_official_2025__prec__season_sum) / (abs(soilgrids__soc__depth_weighted_0_30cm) + eps),1,0.2,2.0,0.5012625826870797,-0.5012625826870797,1.0
fold_municipality_grouped,symmetric_change::agro_pheno__y2025_s2_ndvi__auc::soilgrids__cec__depth_weighted_0_30cm,symmetric_change,agro_pheno__y2025_s2_ndvi__auc,soilgrids__cec__depth_weighted_0_30cm,2*((agro_pheno__y2025_s2_ndvi__auc)-(soilgrids__cec__depth_weighted_0_30cm)) / (abs(agro_pheno__y2025_s2_ndvi__auc)+abs(soilgrids__cec__depth_weighted_0_30cm)+eps),1,0.2,3.0,0.5660797840472358,0.5660797840472358,1.0
fold_municipality_grouped,symmetric_change::clim_official_2025__prec__season_sum::soilgrids__soc__depth_weighted_0_30cm,symmetric_change,clim_official_2025__prec__season_sum,soilgrids__soc__depth_weighted_0_30cm,2*((clim_official_2025__prec__season_sum)-(soilgrids__soc__depth_weighted_0_30cm)) / (abs(clim_official_2025__prec__season_sum)+abs(soilgrids__soc__depth_weighted_0_30cm)+eps),1,0.2,3.0,0.5012625826870797,-0.5012625826870797,1.0
fold_municipality_grouped,product::soilgrids__soc__depth_weighted_0_30cm::agro_thermal__2025__gdd_proxy_base5p0c,product,soilgrids__soc__depth_weighted_0_30cm,agro_thermal__2025__gdd_proxy_base5p0c,(soilgrids__soc__depth_weighted_0_30cm) * (agro_thermal__2025__gdd_proxy_base5p0c),1,0.2,4.0,0.6416656160304622,0.6416656160304622,1.0
fold_municipality_grouped,difference::agro_pheno__y2025_s2_ndvi__auc::siap_hist__yield_mean_recent,difference,agro_pheno__y2025_s2_ndvi__auc,siap_hist__yield_mean_recent,(agro_pheno__y2025_s2_ndvi__auc) - (siap_hist__yield_mean_recent),1,0.2,4.0,0.5520039501586433,0.5520039501586433,1.0
fold_municipality_grouped,symmetric_change::clim_official_2025__prec__season_sum::siap_hist__yield_trend_recent,symmetric_change,clim_official_2025__prec__season_sum,siap_hist__yield_trend_recent,2*((clim_official_2025__prec__season_sum)-(siap_hist__yield_trend_recent)) / (abs(clim_official_2025__prec__season_sum)+abs(siap_hist__yield_trend_recent)+eps),1,0.2,4.0,0.49167077884225885,-0.49167077884225885,1.0
fold_municipality_grouped,safe_ratio::siap_hist__yield_trend_recent::siap_hist__yield_mean_recent,safe_ratio,siap_hist__yield_trend_recent,siap_hist__yield_mean_recent,(siap_hist__yield_trend_recent) / (abs(siap_hist__yield_mean_recent) + eps),1,0.2,5.0,0.7227988287711594,0.7227988287711594,1.0
fold_municipality_grouped,reverse_difference::agro_pheno__y2025_s2_ndvi__auc::siap_hist__yield_mean_recent,reverse_difference,agro_pheno__y2025_s2_ndvi__auc,siap_hist__yield_mean_recent,(siap_hist__yield_mean_recent) - (agro_pheno__y2025_s2_ndvi__auc),1,0.2,5.0,0.5520039501586433,-0.5520039501586433,1.0
fold_municipality_grouped,symmetric_change::agro_water__2025__precip_minus_aeti_season::siap_hist__yield_trend_recent,symmetric_change,agro_water__2025__precip_minus_aeti_season,siap_hist__yield_trend_recent,2*((agro_water__2025__precip_minus_aeti_season)-(siap_hist__yield_trend_recent)) / (abs(agro_water__2025__precip_minus_aeti_season)+abs(siap_hist__yield_trend_recent)+eps),1,0.2,5.0,0.4911115650246847,-0.4911115650246847,1.0
fold_municipality_grouped,reverse_safe_ratio::agro_pheno__y2025_s2_ndvi__auc::siap_hist__yield_mean_recent,reverse_safe_ratio,agro_pheno__y2025_s2_ndvi__auc,siap_hist__yield_mean_recent,(siap_hist__yield_mean_recent) / (abs(agro_pheno__y2025_s2_ndvi__auc) + eps),1,0.2,6.0,0.5499581733533503,-0.5499581733533503,1.0
fold_municipality_grouped,reverse_safe_ratio::agro_water__2025__precip_minus_aeti_season::soilgrids__soc__depth_weighted_0_30cm,reverse_safe_ratio,agro_water__2025__precip_minus_aeti_season,soilgrids__soc__depth_weighted_0_30cm,(soilgrids__soc__depth_weighted_0_30cm) / (abs(agro_water__2025__precip_minus_aeti_season) + eps),1,0.2,6.0,0.4762356812862236,0.4762356812862236,1.0
fold_municipality_grouped,sum::soilgrids__soc__depth_weighted_0_30cm::emp_symchange__s2_ndvi__season_mean,sum,soilgrids__soc__depth_weighted_0_30cm,emp_symchange__s2_ndvi__season_mean,(soilgrids__soc__depth_weighted_0_30cm) + (emp_symchange__s2_ndvi__season_mean),1,0.2,7.0,0.6274262987984596,0.6274262987984596,1.0
fold_municipality_grouped,safe_ratio::agro_pheno__y2025_s2_ndvi__auc::siap_hist__yield_mean_recent,safe_ratio,agro_pheno__y2025_s2_ndvi__auc,siap_hist__yield_mean_recent,(agro_pheno__y2025_s2_ndvi__auc) / (abs(siap_hist__yield_mean_recent) + eps),1,0.2,7.0,0.5499581733533503,0.5499581733533503,1.0
fold_municipality_grouped,safe_ratio::agro_water__2025__precip_minus_aeti_season::soilgrids__soc__depth_weighted_0_30cm,safe_ratio,agro_water__2025__precip_minus_aeti_season,soilgrids__soc__depth_weighted_0_30cm,(agro_water__2025__precip_minus_aeti_season) / (abs(soilgrids__soc__depth_weighted_0_30cm) + eps),1,0.2,7.0,0.4762356812862236,-0.4762356812862236,1.0
fold_municipality_grouped,reverse_safe_ratio::clim_official_2025__prec__season_sum::agro_soil__soc_x_cec,reverse_safe_ratio,clim_official_2025__prec__season_sum,agro_soil__soc_x_cec,(agro_soil__soc_x_cec) / (abs(clim_official_2025__prec__season_sum) + eps),1,0.2,8.0,0.700858340762838,0.700858340762838,1.0
fold_municipality_grouped,sum::soilgrids__soc__depth_weighted_0_30cm::siap_hist__yield_trend_recent,sum,soilgrids__soc__depth_weighted_0_30cm,siap_hist__yield_trend_recent,(soilgrids__soc__depth_weighted_0_30cm) + (siap_hist__yield_trend_recent),1,0.2,8.0,0.6256834693255623,0.6256834693255623,1.0
fold_municipality_grouped,symmetric_change::agro_pheno__y2025_s2_ndvi__auc::siap_hist__yield_mean_recent,symmetric_change,agro_pheno__y2025_s2_ndvi__auc,siap_hist__yield_mean_recent,2*((agro_pheno__y2025_s2_ndvi__auc)-(siap_hist__yield_mean_recent)) / (abs(agro_pheno__y2025_s2_ndvi__auc)+abs(siap_hist__yield_mean_recent)+eps),1,0.2,8.0,0.5499581733533503,0.5499581733533503,1.0
fold_municipality_grouped,symmetric_change::agro_water__2025__precip_minus_aeti_season::soilgrids__soc__depth_weighted_0_30cm,symmetric_change,agro_water__2025__precip_minus_aeti_season,soilgrids__soc__depth_weighted_0_30cm,2*((agro_water__2025__precip_minus_aeti_season)-(soilgrids__soc__depth_weighted_0_30cm)) / (abs(agro_water__2025__precip_minus_aeti_season)+abs(soilgrids__soc__depth_weighted_0_30cm)+eps),1,0.2,8.0,0.4762356812862236,-0.4762356812862236,1.0
fold_municipality_grouped,safe_ratio::clim_official_2025__prec__season_sum::agro_soil__soc_x_cec,safe_ratio,clim_official_2025__prec__season_sum,agro_soil__soc_x_cec,(clim_official_2025__prec__season_sum) / (abs(agro_soil__soc_x_cec) + eps),1,0.2,9.0,0.700858340762838,-0.700858340762838,1.0
fold_municipality_grouped,sum::agro_pheno__y2025_s2_ndvi__auc::agro_anomaly__s2_ndvi__season_mean_delta,sum,agro_pheno__y2025_s2_ndvi__auc,agro_anomaly__s2_ndvi__season_mean_delta,(agro_pheno__y2025_s2_ndvi__auc) + (agro_anomaly__s2_ndvi__season_mean_delta),1,0.2,9.0,0.5397959994401009,0.5397959994401009,1.0
fold_municipality_grouped,reverse_safe_ratio::clim_official_2025__prec__season_sum::siap_hist__yield_mean_recent,reverse_safe_ratio,clim_official_2025__prec__season_sum,siap_hist__yield_mean_recent,(siap_hist__yield_mean_recent) / (abs(clim_official_2025__prec__season_sum) + eps),1,0.2,9.0,0.4753501991761211,0.4753501991761211,1.0
fold_municipality_grouped,safe_ratio::siap_hist__yield_trend_recent::clim_official_2025__prec__season_sum,safe_ratio,siap_hist__yield_trend_recent,clim_official_2025__prec__season_sum,(siap_hist__yield_trend_recent) / (abs(clim_official_2025__prec__season_sum) + eps),1,0.2,10.0,0.7172905279130602,0.7172905279130602,1.0
fold_municipality_grouped,symmetric_change::clim_official_2025__prec__season_sum::agro_soil__soc_x_cec,symmetric_change,clim_official_2025__prec__season_sum,agro_soil__soc_x_cec,2*((clim_official_2025__prec__season_sum)-(agro_soil__soc_x_cec)) / (abs(clim_official_2025__prec__season_sum)+abs(agro_soil__soc_x_cec)+eps),1,0.2,10.0,0.700858340762838,-0.700858340762838,1.0
fold_municipality_grouped,sum::soilgrids__soc__depth_weighted_0_30cm::soilgrids__nitrogen__depth_weighted_0_30cm,sum,soilgrids__soc__depth_weighted_0_30cm,soilgrids__nitrogen__depth_weighted_0_30cm,(soilgrids__soc__depth_weighted_0_30cm) + (soilgrids__nitrogen__depth_weighted_0_30cm),1,0.2,10.0,0.623109666269387,0.623109666269387,1.0
fold_municipality_grouped,difference::agro_pheno__y2025_s2_ndvi__auc::sat_basic_2025__sentinel_2__ndvi_promedio__mean,difference,agro_pheno__y2025_s2_ndvi__auc,sat_basic_2025__sentinel_2__ndvi_promedio__mean,(agro_pheno__y2025_s2_ndvi__auc) - (sat_basic_2025__sentinel_2__ndvi_promedio__mean),1,0.2,10.0,0.5374833821819436,0.5374833821819436,1.0
fold_municipality_grouped,safe_ratio::clim_official_2025__prec__season_sum::siap_hist__yield_mean_recent,safe_ratio,clim_official_2025__prec__season_sum,siap_hist__yield_mean_recent,(clim_official_2025__prec__season_sum) / (abs(siap_hist__yield_mean_recent) + eps),1,0.2,10.0,0.4753501991761211,-0.4753501991761211,1.0
fold_municipality_grouped,sum::siap_hist__yield_trend_recent::siap_hist__yield_mean_recent,sum,siap_hist__yield_trend_recent,siap_hist__yield_mean_recent,(siap_hist__yield_trend_recent) + (siap_hist__yield_mean_recent),1,0.2,11.0,0.7162702042838133,0.7162702042838133,1.0
fold_municipality_grouped,reverse_difference::agro_pheno__y2025_s2_ndvi__auc::sat_basic_2025__sentinel_2__ndvi_promedio__mean,reverse_difference,agro_pheno__y2025_s2_ndvi__auc,sat_basic_2025__sentinel_2__ndvi_promedio__mean,(sat_basic_2025__sentinel_2__ndvi_promedio__mean) - (agro_pheno__y2025_s2_ndvi__auc),1,0.2,11.0,0.5374833821819436,-0.5374833821819436,1.0
