split_id,family,repeat,method,n_train,n_pseudo_target,match_objective,municipality_tv,profile_mean_distance,rmse,mae,r2
state_random_08,state_random,8,Blend_PLS8_Geo5,97,41,0.928082242005273,0.10954940057875158,0.8115051440309033,0.6799858861713374,0.4430082667494072,0.3864768797436732
state_random_08,state_random,8,Blend_PLS8_Graph8,97,41,0.928082242005273,0.10954940057875158,0.8115051440309033,0.6663997675582428,0.42563783316613535,0.4107483460282493
state_random_08,state_random,8,Blend_Ridge100_Geo5,97,41,0.928082242005273,0.10954940057875158,0.8115051440309033,0.6528487379391241,0.44659407150232006,0.4344691848065735
fold_state_stratified_fold1,fold_state_stratified,1,GlobalMean,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.8677484966076386,0.7548636363636366,-0.0055601879035411805
fold_state_stratified_fold1,fold_state_stratified,1,StateMean,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.6057029896309246,0.4576118637110017,0.5100635341035552
fold_state_stratified_fold1,fold_state_stratified,1,MunicipalityShrink_3,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.547528697623311,0.3956936520629473,0.5996552808727327
fold_state_stratified_fold1,fold_state_stratified,1,MunicipalityShrink_8,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.5654824416800668,0.398237717586782,0.5729698099533558
fold_state_stratified_fold1,fold_state_stratified,1,GeoKNN_3,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.6140783671573432,0.4227281888452924,0.49642063352694277
fold_state_stratified_fold1,fold_state_stratified,1,GeoKNN_5,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.5956237546189153,0.4155022936706673,0.5262334979054644
fold_state_stratified_fold1,fold_state_stratified,1,GeoKNN_10,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.5659280678736789,0.393667614750789,0.5722965058680078
fold_state_stratified_fold1,fold_state_stratified,1,AgroKNN_5,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.5231294951376919,0.3564407888440529,0.6345409298365945
fold_state_stratified_fold1,fold_state_stratified,1,GeoAgro_75_25_KNN5,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.5940417413153737,0.41516764845293636,0.5287468615439265
fold_state_stratified_fold1,fold_state_stratified,1,GeoAgro_50_50_KNN5,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.6027436413411752,0.42030885507218063,0.5148393094222423
fold_state_stratified_fold1,fold_state_stratified,1,GeoAgro_25_75_KNN5,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.5684579526787327,0.3998598475025888,0.5684640078130384
fold_state_stratified_fold1,fold_state_stratified,1,GeoAgroTemporal_KNN5,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.5963370471589841,0.41732477780563826,0.5250980950391622
fold_state_stratified_fold1,fold_state_stratified,1,GlobalRidge_C1_10,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.6131082859426631,0.41835844813337136,0.49801042091931014
fold_state_stratified_fold1,fold_state_stratified,1,GlobalRidge_C1_100,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.6723867598809325,0.5232702189046887,0.39624792448713875
fold_state_stratified_fold1,fold_state_stratified,1,GlobalRidge_C1_1000,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.8236833208545097,0.7103687022027432,0.09397355438815247
fold_state_stratified_fold1,fold_state_stratified,1,GlobalPLS_C0_4,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.5788164428148883,0.4047498863276335,0.5525937460995578
fold_state_stratified_fold1,fold_state_stratified,1,GlobalPLS_C0_8,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.6376382458309502,0.4748545291218633,0.45703848583577256
fold_state_stratified_fold1,fold_state_stratified,1,GlobalPLS_C0_12,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.6387794575382513,0.48988603201540665,0.45509321817032433
fold_state_stratified_fold1,fold_state_stratified,1,LocalRidge_k20_a100,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.5455757922961971,0.37286890778595577,0.6025060575615868
fold_state_stratified_fold1,fold_state_stratified,1,LocalRidge_k30_a100,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.5321493484648172,0.3572753165549488,0.621829715627042
fold_state_stratified_fold1,fold_state_stratified,1,Graph_k6_lam0p5,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.5648709298349823,0.3994672088153665,0.5738928901596403
fold_state_stratified_fold1,fold_state_stratified,1,Graph_k8_lam2,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.5270739521745493,0.36130364316535246,0.6290089447554663
fold_state_stratified_fold1,fold_state_stratified,1,Blend_PLS8_Geo5,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.5838342034483265,0.4239618243702748,0.5448029918021864
fold_state_stratified_fold1,fold_state_stratified,1,Blend_PLS8_Graph8,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.549610652646628,0.39824866962689587,0.5966049042382973
fold_state_stratified_fold1,fold_state_stratified,1,Blend_Ridge100_Geo5,110,28,1.0178277287314281,0.09624697336561741,0.9173434672302175,0.5986101727978124,0.4238717308303208,0.5214707197154094
fold_state_stratified_fold2,fold_state_stratified,2,GlobalMean,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.8130554975096699,0.7277012987012987,-0.02212564905044423
fold_state_stratified_fold2,fold_state_stratified,2,StateMean,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.6553952700424399,0.5135511963406053,0.3358433724786627
fold_state_stratified_fold2,fold_state_stratified,2,MunicipalityShrink_3,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.5467603382365356,0.39901198606401833,0.5377702306918504
fold_state_stratified_fold2,fold_state_stratified,2,MunicipalityShrink_8,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.5699238904478253,0.4321238711001642,0.4977758065094424
fold_state_stratified_fold2,fold_state_stratified,2,GeoKNN_3,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.5123441565805542,0.39803316858350496,0.5941295062094751
fold_state_stratified_fold2,fold_state_stratified,2,GeoKNN_5,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.48520680062841975,0.3872388281305006,0.6359863547007119
fold_state_stratified_fold2,fold_state_stratified,2,GeoKNN_10,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.4627783214320128,0.35957609856557615,0.668861316218416
fold_state_stratified_fold2,fold_state_stratified,2,AgroKNN_5,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.5147602348882364,0.41183715720731096,0.5902925265456243
fold_state_stratified_fold2,fold_state_stratified,2,GeoAgro_75_25_KNN5,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.485979025901386,0.3879598944336197,0.6348267492401345
fold_state_stratified_fold2,fold_state_stratified,2,GeoAgro_50_50_KNN5,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.4939674160778859,0.400452513881962,0.622722844012357
fold_state_stratified_fold2,fold_state_stratified,2,GeoAgro_25_75_KNN5,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.5205256161154709,0.43044224751246973,0.5810635782366248
fold_state_stratified_fold2,fold_state_stratified,2,GeoAgroTemporal_KNN5,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.5163767885020932,0.4155536244570327,0.5877151943515637
fold_state_stratified_fold2,fold_state_stratified,2,GlobalRidge_C1_10,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.5256082401845237,0.42292186243637236,0.5728423036915778
fold_state_stratified_fold2,fold_state_stratified,2,GlobalRidge_C1_100,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.5695980037504695,0.474128890807739,0.49834999331982865
fold_state_stratified_fold2,fold_state_stratified,2,GlobalRidge_C1_1000,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.758560247272203,0.6753779502108719,0.11029902950022086
fold_state_stratified_fold2,fold_state_stratified,2,GlobalPLS_C0_4,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.5042144552780778,0.37524896458854495,0.6069077426074327
fold_state_stratified_fold2,fold_state_stratified,2,GlobalPLS_C0_8,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.648304007313704,0.4991374890916665,0.350137738753173
fold_state_stratified_fold2,fold_state_stratified,2,GlobalPLS_C0_12,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.7498730424792194,0.5646608561435762,0.13056045855640686
fold_state_stratified_fold2,fold_state_stratified,2,LocalRidge_k20_a100,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.47884435940540193,0.37692647695844256,0.6454702722583937
fold_state_stratified_fold2,fold_state_stratified,2,LocalRidge_k30_a100,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.48479764982566437,0.37468593719929827,0.6366000051261722
fold_state_stratified_fold2,fold_state_stratified,2,Graph_k6_lam0p5,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.47517075651903323,0.3683490538254915,0.6508891751547923
fold_state_stratified_fold2,fold_state_stratified,2,Graph_k8_lam2,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.49072802915632174,0.3592421169577999,0.6276549075042386
fold_state_stratified_fold2,fold_state_stratified,2,Blend_PLS8_Geo5,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.524976796353649,0.40812554260732054,0.5738680260935245
fold_state_stratified_fold2,fold_state_stratified,2,Blend_PLS8_Graph8,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.5066327421878876,0.3957092702639808,0.6031280433822795
fold_state_stratified_fold2,fold_state_stratified,2,Blend_Ridge100_Geo5,110,28,1.0282939264064213,0.08353510895883776,0.9226643864548476,0.48412600648769333,0.3914919896379219,0.6376062233436319
fold_state_stratified_fold3,fold_state_stratified,3,GlobalMean,110,28,1.2303588137689907,0.10774818401937045,1.1026348428246808,0.8426965467436915,0.7678766233766234,-0.00013702227740108874
fold_state_stratified_fold3,fold_state_stratified,3,StateMean,110,28,1.2303588137689907,0.10774818401937045,1.1026348428246808,0.45299195206199006,0.3510991765127106,0.7109998633516914
fold_state_stratified_fold3,fold_state_stratified,3,MunicipalityShrink_3,110,28,1.2303588137689907,0.10774818401937045,1.1026348428246808,0.33735293575212544,0.23751222279182826,0.8397175164234331
fold_state_stratified_fold3,fold_state_stratified,3,MunicipalityShrink_8,110,28,1.2303588137689907,0.10774818401937045,1.1026348428246808,0.35366618937268024,0.2608456334288104,0.8238412736627836
fold_state_stratified_fold3,fold_state_stratified,3,GeoKNN_3,110,28,1.2303588137689907,0.10774818401937045,1.1026348428246808,0.43087114480823524,0.32197410146299454,0.7385360025655461
fold_state_stratified_fold3,fold_state_stratified,3,GeoKNN_5,110,28,1.2303588137689907,0.10774818401937045,1.1026348428246808,0.4258145057622728,0.3143655058418381,0.7446369954973915
fold_state_stratified_fold3,fold_state_stratified,3,GeoKNN_10,110,28,1.2303588137689907,0.10774818401937045,1.1026348428246808,0.39702415619520265,0.29030231221831254,0.7780010408429927
