position,ID_POLIGONO,meta_estado,meta_municipio,nearest_geo_km,nearest_agro_distance,best_temporal_similarity,adversarial_target_probability,x_geo_support,x_agro_support,x_temporal_support,x_adversarial_support,x_support_score,x_support_tier,recommended_method
86,AGC_087,Tlaxcala,Calpulalpan,0.22497606331463058,3.5205656402960415,0.9903416322557276,0.6323017564687645,0.7536231884057971,0.9855072463768116,0.8768115942028986,0.17391304347826086,0.697463768115942,high,LocalRidge_k30_a100
87,AGC_088,Puebla,Chignahuapan,0.13596272325976277,6.445320320585311,0.989884154917478,0.3111190240816944,0.8695652173913043,0.7898550724637681,0.8768115942028986,0.7246376811594203,0.8152173913043478,high,LocalRidge_k30_a100
90,AGC_091,Puebla,Chignahuapan,0.09355992564595003,5.897537145232108,0.9806213923932048,0.4166079616176154,0.927536231884058,0.8695652173913043,0.45652173913043476,0.5144927536231884,0.6920289855072463,high,LocalRidge_k30_a100
92,AGC_093,Tlaxcala,Calpulalpan,0.3697043035998934,8.766308616247375,0.978002645540502,0.4964995490059672,0.5579710144927537,0.47101449275362317,0.35507246376811596,0.35507246376811596,0.4347826086956522,mid,GeoKNN_10
93,AGC_094,Puebla,Chignahuapan,0.18718872794103897,7.586234879900888,0.982700803552131,0.3241223347608775,0.8333333333333334,0.6376811594202898,0.5797101449275363,0.6884057971014492,0.6847826086956521,high,LocalRidge_k30_a100
94,AGC_095,Puebla,Chignahuapan,0.21420832878536242,9.507859621467054,0.9836685940302912,0.6751146990860084,0.7753623188405797,0.391304347826087,0.6521739130434783,0.09420289855072464,0.4782608695652174,mid,GeoKNN_10
106,AGC_107,Hidalgo,Almoloya,0.2010752555976734,9.471694436980249,0.9705237454021628,0.4080123212244501,0.8188405797101449,0.391304347826087,0.11594202898550725,0.5289855072463768,0.46376811594202905,mid,GeoKNN_10
112,AGC_113,Hidalgo,Singuilucan,0.22597359137517833,6.067349665952037,0.9844493118855864,0.455175822660752,0.7536231884057971,0.8623188405797102,0.717391304347826,0.41304347826086957,0.6865942028985508,high,LocalRidge_k30_a100
115,AGC_116,Puebla,Chignahuapan,0.2014486096044487,10.04144986714861,0.9737345486558868,0.5735786933465596,0.8188405797101449,0.32608695652173914,0.17391304347826086,0.2028985507246377,0.3804347826086957,mid,GeoKNN_10
117,AGC_118,Hidalgo,Singuilucan,1.0732361948178293,14.255255968921253,0.9838578487162056,0.5075485092198352,0.12318840579710146,0.050724637681159424,0.6739130434782609,0.34057971014492755,0.2971014492753623,low,LocalRidge_k30_a100
119,AGC_120,Tlaxcala,Nanacamilpa de Mariano Arista,1.2647701335085926,17.614839418918027,0.9815866849955696,0.6803645086693996,0.07971014492753623,0.007246376811594203,0.4855072463768116,0.09420289855072464,0.16666666666666666,low,LocalRidge_k30_a100
125,AGC_126,Puebla,Chignahuapan,0.3015206909466524,5.5634102868994715,0.993094023417342,0.3548163506870577,0.6956521739130435,0.9057971014492754,0.9710144927536232,0.6521739130434783,0.806159420289855,high,LocalRidge_k30_a100
127,AGC_128,Hidalgo,Almoloya,0.24925897539558345,7.380742532636933,0.9831418776390904,0.4453829635708482,0.7463768115942029,0.6594202898550725,0.6376811594202898,0.4492753623188406,0.6231884057971016,mid,GeoKNN_10
128,AGC_129,Hidalgo,Singuilucan,0.5173776197752261,11.824238729157669,0.9847904424589026,0.7407678323090281,0.3333333333333333,0.16666666666666666,0.717391304347826,0.043478260869565216,0.31521739130434784,low,LocalRidge_k30_a100
129,AGC_130,Hidalgo,Cuautepec de Hinojosa,0.44763268792624156,8.986881969383635,0.9803028909378614,0.720889912127784,0.391304347826087,0.4420289855072464,0.4420289855072464,0.057971014492753624,0.33333333333333337,mid,GeoKNN_10
135,AGC_136,Puebla,Chignahuapan,0.18411439960993856,11.1596945677997,0.9624810000662166,0.7212793115309297,0.8333333333333334,0.2463768115942029,0.057971014492753624,0.057971014492753624,0.2989130434782609,low,LocalRidge_k30_a100
141,AGC_142,Puebla,Chignahuapan,0.06667702066466358,13.384270305808013,0.9706042642284723,0.5869573659042192,0.9710144927536232,0.06521739130434782,0.11594202898550725,0.2028985507246377,0.338768115942029,mid,GeoKNN_10
142,AGC_143,Puebla,Chignahuapan,0.31932299759602994,7.171624037032234,0.977656026181829,0.6181880865474197,0.6811594202898551,0.6811594202898551,0.3333333333333333,0.18115942028985507,0.4692028985507246,mid,GeoKNN_10
146,AGC_147,Tlaxcala,Calpulalpan,1.1730170703791165,8.429652518409824,0.9957528255080544,0.5427734233660344,0.11594202898550725,0.5362318840579711,0.9855072463768116,0.2536231884057971,0.4728260869565218,mid,GeoKNN_10
