family,method,x_support_tier,n_predictions,rmse,mae
state_random,GeoAgro_75_25_KNN5,low,52,0.4077072763641768,0.33877450501742157
state_random,GeoAgroTemporal_KNN5,low,52,0.4099072599131786,0.3332377621061082
state_random,GeoAgro_50_50_KNN5,low,52,0.41362687091966105,0.3475236053827553
state_random,AgroKNN_5,low,52,0.43213535679265436,0.36125706674791264
state_random,MunicipalityShrink_3,low,52,0.43891668717975446,0.3719311128162939
state_random,Blend_PLS8_Graph8,low,52,0.4397103160678585,0.3473575926942794
state_random,GeoAgro_25_75_KNN5,low,52,0.4398085573375733,0.36160299538115875
state_random,Blend_PLS8_Geo5,low,52,0.44675617123891725,0.35619382602976396
state_random,GlobalPLS_C0_4,low,52,0.47341009401424267,0.34450648224118474
state_random,MunicipalityShrink_8,low,52,0.4871828752042724,0.4194793767027702
state_random,GlobalRidge_C1_100,low,52,0.5176741796220825,0.3977451328125442
state_random,GlobalRidge_C1_10,low,52,0.5369355786396567,0.41758780404047735
state_random,GlobalPLS_C0_8,low,52,0.5941163673523804,0.47548585300321966
state_random,StateMean,low,52,0.6030676428865164,0.505951531500174
state_random,GlobalPLS_C0_12,low,52,0.6533725246983063,0.517436908158585
state_random,GlobalRidge_C1_1000,low,52,0.6902974602842155,0.6023205430856778
state_random,GlobalMean,low,52,0.7384040086999093,0.653330689928628
state_random,Graph_k8_lam2,mid,221,0.5192059962398454,0.36164587876223137
state_random,GeoKNN_10,mid,221,0.5216110367013992,0.3757864297786834
state_random,LocalRidge_k20_a100,mid,221,0.5310456175802836,0.3841103793526398
state_random,Graph_k6_lam0p5,mid,221,0.5331806752911249,0.3869484120226815
state_random,Blend_PLS8_Graph8,mid,221,0.5337037026255302,0.40329153644030225
state_random,LocalRidge_k30_a100,mid,221,0.537399017230871,0.39105426539291205
state_random,GlobalPLS_C0_4,mid,221,0.546290921565696,0.42009398934992154
state_random,GeoKNN_5,mid,221,0.5500416923983966,0.3975003237054441
state_random,MunicipalityShrink_3,mid,221,0.5517418445541223,0.3890927474231473
state_random,Blend_PLS8_Geo5,mid,221,0.552560434090752,0.41393106659317064
state_random,GeoAgro_75_25_KNN5,mid,221,0.5550224857789938,0.40418724983292414
state_random,GeoAgro_50_50_KNN5,mid,221,0.5571355261003931,0.40623525321435766
state_random,GeoKNN_3,mid,221,0.561201842420743,0.4174740904466315
state_random,GeoAgro_25_75_KNN5,mid,221,0.5632447731447249,0.41617452050082804
state_random,GeoAgroTemporal_KNN5,mid,221,0.5656517866084155,0.41360416303609987
state_random,MunicipalityShrink_8,mid,221,0.5725532922988663,0.4132497493042742
state_random,AgroKNN_5,mid,221,0.5756480679817011,0.4403224035201738
