protocol,ablation,model,n_features,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
fold_state_stratified,A3_clean_plus_climate,ExtraTrees,153,0.5035124027012682,0.0901094790127418,0.3726391447884369,0.06759867118802272,0.6360182134224741,0.11158805675370354
fold_state_stratified,A3_clean_plus_climate,Ridge,153,0.5298128016389612,0.06877338219790942,0.4151526758651561,0.04562335705390982,0.6024607002686833,0.08901969199560737
fold_state_stratified,A3_clean_plus_climate,DummyMean,153,0.850611698683933,0.025438518669854412,0.7510572806572808,0.020353451971299494,-0.017894922313082606,0.015589635288316325
fold_state_stratified,A4_clean_plus_basic_history,ExtraTrees,692,0.5093442104581436,0.05856765786087331,0.374621508377425,0.039445484047845855,0.6324024659365634,0.07312571314492146
fold_state_stratified,A4_clean_plus_basic_history,Ridge,692,0.6706753538727275,0.0428570288956777,0.519647288116553,0.02072160565755753,0.3670137799669604,0.053565097619512024
fold_state_stratified,A4_clean_plus_basic_history,DummyMean,692,0.850611698683933,0.025438518669854412,0.7510572806572808,0.020353451971299494,-0.017894922313082606,0.015589635288316325
fold_state_stratified,A5_clean_full,ExtraTrees,692,0.5093442104581435,0.05856765786087354,0.3746215083774249,0.03944548404784589,0.6324024659365637,0.0731257131449217
fold_state_stratified,A5_clean_full,Ridge,692,0.6706753538727275,0.0428570288956777,0.519647288116553,0.02072160565755753,0.3670137799669604,0.053565097619512024
fold_state_stratified,A5_clean_full,DummyMean,692,0.850611698683933,0.025438518669854412,0.7510572806572808,0.020353451971299494,-0.017894922313082606,0.015589635288316325
fold_state_stratified,A6_competition_remote_weather,ExtraTrees,1396,0.5000609054697117,0.0633646338698877,0.3609663862433862,0.03671725078944591,0.6447210640677254,0.07902103471733901
fold_state_stratified,A6_competition_remote_weather,Ridge,1396,0.6521812634010502,0.048112177501410676,0.49929284036364796,0.05219317459764756,0.39472377890477617,0.11925503948553959
fold_state_stratified,A6_competition_remote_weather,DummyMean,1396,0.850611698683933,0.025438518669854412,0.7510572806572808,0.020353451971299494,-0.017894922313082606,0.015589635288316325
fold_state_stratified,A7_competition_full,ExtraTrees,1401,0.49655616613367154,0.06374296603226128,0.357443307256236,0.03353369194705989,0.6498285880543555,0.07835734381413162
fold_state_stratified,A7_competition_full,Ridge,1401,0.651455071640427,0.04643761680597448,0.4988852933920298,0.051251690673257494,0.39635328591616503,0.11594465825161578
fold_state_stratified,A7_competition_full,DummyMean,1401,0.850611698683933,0.025438518669854412,0.7510572806572808,0.020353451971299494,-0.017894922313082606,0.015589635288316325
