family,method,n_splits,n_predictions,rmse_mean,rmse_median,rmse_std,rmse_worst,pooled_rmse,pooled_mae,pooled_r2,method_family,kind,representation,distance_name,k,alpha,distance_power,regularization
fold_state_stratified,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,5,138,0.4753718919764747,0.4605158550687146,0.06698971775406914,0.5438519261730222,0.47885889014913385,0.33916126171523864,0.6811764350121237,local,local,C4_all_deterministic,Geo,24.0,30.0,1.0,
fold_state_stratified,LocalRidge_C1_agronomic_Geo_k30_a30_p1,5,138,0.47555288225248543,0.45924019183852655,0.06200234565495738,0.5364416855761395,0.47847103614927583,0.33838868044519227,0.6816926911334629,local,local,C1_agronomic,Geo,30.0,30.0,1.0,
fold_state_stratified,GraphDirect_GeoAgro25_k6_lam4,5,138,0.4785847296233293,0.49390749225940217,0.08993149760687559,0.5915039552678562,0.4848117425842509,0.3341154932441577,0.673200363379775,graph_direct,graph_direct,,GeoAgro25,6.0,,,4.0
fold_state_stratified,GraphDirect_GeoAgro25_k10_lam2,5,138,0.47893567129914355,0.501886676561794,0.09576198624038336,0.5965342208319969,0.4860190990058572,0.3257349552187091,0.6715706382383667,graph_direct,graph_direct,,GeoAgro25,10.0,,,2.0
fold_state_stratified,GraphDirect_GeoAgro25_k6_lam8,5,138,0.4791609071555187,0.4990402221287075,0.09205594237081563,0.5955901766034923,0.4856620191616512,0.33003541780343343,0.6720530572388501,graph_direct,graph_direct,,GeoAgro25,6.0,,,8.0
fold_state_stratified,Baseline_GeoKNN10,5,138,0.4866252932566966,0.4627783214320128,0.07277357623307525,0.5659280678736789,0.4907299914735996,0.3529603330222468,0.6651729730111193,baseline,geo_knn,,Geo,10.0,,1.0,
fold_state_stratified,GraphResidualPLS4_GeoAgro25_k8_lam8,5,138,0.5216192966324894,0.48615069433425495,0.06910867307159022,0.6215587085642122,0.5248321034582569,0.3875754077770854,0.6170200047327399,graph_residual,graph_residual,C0_base,GeoAgro25,8.0,,,8.0
fold_state_stratified,GraphResidualPLS4_GeoAgro25_k10_lam8,5,138,0.522294193664844,0.4854049718145966,0.06853697059829424,0.6215310297515099,0.5254049651747569,0.388059024713478,0.6161834922092846,graph_residual,graph_residual,C0_base,GeoAgro25,10.0,,,8.0
fold_state_stratified,GraphResidualPLS4_GeoAgro25_k12_lam4,5,138,0.5226141481276418,0.48667056029072153,0.06850065865328737,0.6221176976708336,0.5257102865127994,0.38868349833202903,0.6157372786131793,graph_residual,graph_residual,C0_base,GeoAgro25,12.0,,,4.0
fold_state_stratified,Anchor_PLS4,5,138,0.5399185884942961,0.5270053866770431,0.054262869841337505,0.6110203964527026,0.5416720645347265,0.40327669058828025,0.5920488316575774,baseline,pls_anchor,C0_base,,,,,
state_random,GraphDirect_GeoAgro25_k6_lam4,8,328,0.46696269602142443,0.4417309548845668,0.08190602670825774,0.6525084262568313,0.4732062785248515,0.3369075914114379,0.7038066020335036,graph_direct,graph_direct,,GeoAgro25,6.0,,,4.0
state_random,GraphDirect_GeoAgro25_k10_lam2,8,328,0.4673811912141216,0.4403952083434394,0.08290189075472512,0.6548436120517019,0.47377084223820815,0.33144901513160563,0.7030994271542385,graph_direct,graph_direct,,GeoAgro25,10.0,,,2.0
state_random,GraphDirect_GeoAgro25_k6_lam8,8,328,0.4679362248678275,0.439763169235232,0.08228322501416549,0.6539938946035762,0.47422412794209906,0.33380884433027846,0.7025310292960285,graph_direct,graph_direct,,GeoAgro25,6.0,,,8.0
state_random,Baseline_GeoKNN10,8,328,0.4698812353509911,0.44774801156083566,0.08120113672910502,0.6596231399849384,0.47598087867613964,0.3489674343734702,0.7003230152304453,baseline,geo_knn,,Geo,10.0,,1.0,
state_random,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,8,328,0.47098064250416155,0.45400757877652287,0.08090341773781393,0.6534650801888845,0.4770219682992437,0.3505872306206638,0.6990106440240194,local,local,C4_all_deterministic,Geo,24.0,30.0,1.0,
state_random,LocalRidge_C1_agronomic_Geo_k30_a30_p1,8,328,0.4710059142069533,0.44846242886757226,0.07927900037422085,0.6488492717841622,0.4768082278345473,0.3491377322885655,0.6992803137500578,local,local,C1_agronomic,Geo,30.0,30.0,1.0,
state_random,LocalRidge_C1_agronomic_Geo_k24_a30_p1,8,328,0.4736807546921645,0.45757821133645693,0.08025915725962898,0.6538429093415764,0.47959336749924003,0.35132581422003967,0.6957569162018158,local,local,C1_agronomic,Geo,24.0,30.0,1.0,
state_random,GraphResidualPLS4_GeoAgro25_k8_lam8,8,328,0.49151978093700177,0.4665724694742227,0.0857214454867603,0.6762475924455289,0.4980174098278647,0.3808682840161347,0.6719323346826602,graph_residual,graph_residual,C0_base,GeoAgro25,8.0,,,8.0
state_random,GraphResidualPLS4_GeoAgro25_k10_lam8,8,328,0.49153011347883496,0.46375644966085205,0.08616518853382313,0.676114817211026,0.4980946066835115,0.3795999508193253,0.6718306203467488,graph_residual,graph_residual,C0_base,GeoAgro25,10.0,,,8.0
state_random,GraphResidualPLS4_GeoAgro25_k12_lam4,8,328,0.49189337303772696,0.4646948441754123,0.08595229037508018,0.6760317467467637,0.4984209186336026,0.38010296399609983,0.6714004985755988,graph_residual,graph_residual,C0_base,GeoAgro25,12.0,,,4.0
state_random,Anchor_PLS4,8,328,0.5017486131763634,0.4828751528783338,0.08228888596815621,0.6729635443204662,0.5076186550788389,0.38782828600939484,0.6591608090061905,baseline,pls_anchor,C0_base,,,,,
