family,method,n_splits,n_predictions,rmse_mean,rmse_median,rmse_std,rmse_worst,pooled_rmse,pooled_mae,pooled_r2,method_family,kind,representation,distance_name,k,alpha,distance_power,regularization
target_matched,LocalRidge_C4_all_deterministic_GeoAgro75_k30_a30_p1,16,656,0.49051690763495814,0.47540866231797163,0.09091473145865198,0.6925469072994098,0.4983530195024391,0.338918695726248,0.6506888480423312,local,local,C4_all_deterministic,GeoAgro75,30.0,30.0,1.0,
target_matched,LocalRidge_C4_all_deterministic_Geo_k24_a100_p1,16,656,0.49098880929810557,0.4739292036534017,0.09122315308158722,0.6964572291511743,0.49887029430051655,0.3432213823985867,0.6499633236701663,local,local,C4_all_deterministic,Geo,24.0,100.0,1.0,
target_matched,LocalRidge_C1_agronomic_Geo_k24_a100_p1,16,656,0.4911961658142051,0.473284164043182,0.09105481333059838,0.6965689444571075,0.4990455551869281,0.343908563460655,0.6497173338203877,local,local,C1_agronomic,Geo,24.0,100.0,1.0,
target_matched,LocalRidge_C1_agronomic_GeoAgro50_k24_a30_p1,16,656,0.491616920076569,0.47650000058630315,0.09153878978627143,0.695366744340355,0.4995426275743501,0.3425672643527883,0.649019190923237,local,local,C1_agronomic,GeoAgro50,24.0,30.0,1.0,
target_matched,LocalRidge_C4_all_deterministic_GeoAgro75_k20_a30_p1,16,656,0.4916868280746338,0.47376856766597253,0.08940124832872341,0.693836376005056,0.49924841878032794,0.3471853255511646,0.6494324939190838,local,local,C4_all_deterministic,GeoAgro75,20.0,30.0,1.0,
target_matched,LocalRidge_C4_all_deterministic_GeoAgro50_k20_a30_p1,16,656,0.4918624916587806,0.4743223509226236,0.08941919584866549,0.6904086794516059,0.49942443497526945,0.3448793696938156,0.6491852565370624,local,local,C4_all_deterministic,GeoAgro50,20.0,30.0,1.0,
target_matched,LocalRidge_C1_agronomic_GeoAgro75_k20_a30_p1,16,656,0.49190723072778086,0.4719239439417573,0.0894588667073525,0.6951317066732671,0.49947515646206353,0.3494885077564362,0.6491139955105608,local,local,C1_agronomic,GeoAgro75,20.0,30.0,1.0,
target_matched,LocalRidge_C1_agronomic_Geo_k16_a30_p1,16,656,0.49195591320773485,0.46949778659385377,0.08673303430588078,0.6971307027314634,0.49907221529300483,0.3558597960239539,0.6496799070869618,local,local,C1_agronomic,Geo,16.0,30.0,1.0,
target_matched,LocalRidge_C4_all_deterministic_GeoAgro75_k24_a100_p1,16,656,0.4922756635636788,0.4764767249231988,0.09208336517021161,0.6952312560272211,0.5002846349272722,0.34055604445907944,0.6479757413962517,local,local,C4_all_deterministic,GeoAgro75,24.0,100.0,1.0,
target_matched,LocalRidge_C4_all_deterministic_Geo_k16_a30_p1,16,656,0.49229567546087744,0.4720314035644308,0.0857474903802237,0.6955470652033605,0.49924755850913427,0.35572774084965,0.6494337020665941,local,local,C4_all_deterministic,Geo,16.0,30.0,1.0,
target_matched,LocalRidge_C4_all_deterministic_Geo_k20_a100_p1,16,656,0.4924234162315247,0.47440510072428843,0.08978623548935795,0.6994965573130901,0.5000385394459775,0.3482862509094426,0.6483219853773428,local,local,C4_all_deterministic,Geo,20.0,100.0,1.0,
target_matched,LocalRidge_C1_agronomic_Geo_k20_a100_p1,16,656,0.4924433665761351,0.47340966892414127,0.08969086956151487,0.6990064106515327,0.5000421413364774,0.34834786892764186,0.648316918926811,local,local,C1_agronomic,Geo,20.0,100.0,1.0,
target_matched,LocalRidge_C1_agronomic_GeoAgro75_k24_a100_p1,16,656,0.49253681009057554,0.4761001049347,0.09193919556942588,0.6954611340091472,0.5005167569582768,0.34199504411022563,0.6476490012300984,local,local,C1_agronomic,GeoAgro75,24.0,100.0,1.0,
target_matched,LocalRidge_C1_agronomic_Geo_k30_a100_p1,16,656,0.4925368239430774,0.477302808478722,0.089920160428268,0.6943345969492432,0.5001727761365707,0.34216154568215923,0.6481331422155361,local,local,C1_agronomic,Geo,30.0,100.0,1.0,
target_matched,LocalRidge_C4_all_deterministic_GeoAgro50_k16_a30_p1,16,656,0.4925861663357003,0.4765278024320443,0.08736139189421409,0.6927393588700097,0.49979610168486793,0.3519922704939748,0.6486629165461013,local,local,C4_all_deterministic,GeoAgro50,16.0,30.0,1.0,
target_matched,LocalRidge_C4_all_deterministic_GeoAgro50_k30_a30_p1,16,656,0.4926130159133363,0.4796413585009402,0.0916258051393051,0.6945235688584054,0.5005378767927506,0.33998077579903424,0.647619264955857,local,local,C4_all_deterministic,GeoAgro50,30.0,30.0,1.0,
target_matched,LocalRidge_C4_all_deterministic_Geo_k30_a100_p1,16,656,0.49271095162241807,0.4785933487112816,0.08996465678793351,0.6944525525199721,0.5003517451280686,0.3416072656968572,0.6478812911510587,local,local,C4_all_deterministic,Geo,30.0,100.0,1.0,
target_matched,LocalRidge_C4_all_deterministic_Geo_k24_a300_p1,16,656,0.49288379575844904,0.47698613856467476,0.09141298729240986,0.6974572273104075,0.5007679097911738,0.3434411055944949,0.6472953021667023,local,local,C4_all_deterministic,Geo,24.0,300.0,1.0,
target_matched,LocalRidge_C1_agronomic_GeoAgro50_k16_a30_p1,16,656,0.4929155453722174,0.4746121882101332,0.0889864310300566,0.6946421903589077,0.5003892566995626,0.3534366869644118,0.647828492209617,local,local,C1_agronomic,GeoAgro50,16.0,30.0,1.0,
target_matched,LocalRidge_C1_agronomic_Geo_k24_a300_p1,16,656,0.49295767357970116,0.4766660161335455,0.09134894272382366,0.6974670180308093,0.500829669592691,0.343626498112494,0.64720829852707,local,local,C1_agronomic,Geo,24.0,300.0,1.0,
target_matched,LocalRidge_C1_agronomic_GeoAgro75_k16_a30_p1,16,656,0.4929639000541866,0.4709773785888002,0.08749056450001773,0.6961529237233444,0.5001895572714234,0.35560665892789256,0.6481095310774408,local,local,C1_agronomic,GeoAgro75,16.0,30.0,1.0,
target_matched,LocalRidge_C1_agronomic_GeoAgro50_k20_a30_p1,16,656,0.4929854110543008,0.47637514884906845,0.09002569804063314,0.6941690488781803,0.5006323028689317,0.34842369838533527,0.6474862997189577,local,local,C1_agronomic,GeoAgro50,20.0,30.0,1.0,
target_matched,LocalRidge_C4_all_deterministic_GeoAgro75_k16_a30_p1,16,656,0.49301043911485726,0.47359115691654485,0.08612920601534173,0.6938807777071234,0.5000138930039899,0.35487882973610035,0.6483566522979606,local,local,C4_all_deterministic,GeoAgro75,16.0,30.0,1.0,
target_matched,LocalRidge_C4_all_deterministic_Geo_k24_a30_p0p5,16,656,0.4931496538704595,0.4803342637697977,0.09483017826754667,0.7023744005114256,0.5016246566442062,0.3401983643015075,0.646087408739011,local,local,C4_all_deterministic,Geo,24.0,30.0,0.5,
target_matched,LocalRidge_C1_agronomic_Geo_k40_a30_p1,16,656,0.4931695603085135,0.4769170570784691,0.08851514469421898,0.690127507482619,0.5005611479905488,0.34393292769173667,0.6475864981552132,local,local,C1_agronomic,Geo,40.0,30.0,1.0,
target_matched,LocalRidge_C1_agronomic_GeoAgro50_k30_a30_p1,16,656,0.493228214618303,0.47965772666426915,0.09119748990597018,0.6934669617623713,0.5010700973670116,0.3422552978900319,0.6468694955836445,local,local,C1_agronomic,GeoAgro50,30.0,30.0,1.0,
target_matched,LocalRidge_C4_all_deterministic_GeoAgro50_k24_a100_p1,16,656,0.4933493253813026,0.47930574017231575,0.09164927517055849,0.6922090290924309,0.501266567946656,0.3381602082610754,0.6465925149486904,local,local,C4_all_deterministic,GeoAgro50,24.0,100.0,1.0,
target_matched,LocalRidge_C4_all_deterministic_GeoAgro75_k20_a100_p1,16,656,0.49375597130955795,0.47796223182427167,0.08982899880400368,0.6953485465606906,0.5013580359043242,0.34654870358888745,0.6464635280494138,local,local,C4_all_deterministic,GeoAgro75,20.0,100.0,1.0,
target_matched,LocalRidge_C1_agronomic_GeoAgro75_k20_a100_p1,16,656,0.4937924402521796,0.4760341564638593,0.0898933189134207,0.6957645692105094,0.501404758938717,0.3469987571269463,0.646397630765439,local,local,C1_agronomic,GeoAgro75,20.0,100.0,1.0,
target_matched,LocalRidge_C1_agronomic_GeoAgro50_k24_a100_p1,16,656,0.49384295973537345,0.4789388709331921,0.09172405825896496,0.6934821304210627,0.5017652242978975,0.33976556038053674,0.6458890307992107,local,local,C1_agronomic,GeoAgro50,24.0,100.0,1.0,
target_matched,LocalRidge_C1_agronomic_Geo_k16_a100_p1,16,656,0.49385509001451056,0.47466225526820705,0.08707696821179886,0.6990474941846792,0.5010003477310561,0.35436298763346374,0.6469678012296696,local,local,C1_agronomic,Geo,16.0,100.0,1.0,
target_matched,LocalRidge_C4_all_deterministic_GeoAgro50_k16_a30_p0p5,16,656,0.49390258738326587,0.48571893323888354,0.0877109233746388,0.6942803210058807,0.5011508221315858,0.3505657696354912,0.6467557044265233,local,local,C4_all_deterministic,GeoAgro50,16.0,30.0,0.5,
target_matched,LocalRidge_C4_all_deterministic_Geo_k16_a30_p0p5,16,656,0.49394678092994226,0.4834101355193139,0.08703610113030244,0.6950988506913783,0.5010840748913987,0.35119733207768533,0.6468497939127309,local,local,C4_all_deterministic,Geo,16.0,30.0,0.5,
target_matched,LocalRidge_C4_all_deterministic_Geo_k20_a300_p1,16,656,0.49394867419118965,0.47734133627379494,0.09015397459363507,0.7007795985349479,0.5016024802314323,0.3480056147795674,0.6461187004154373,local,local,C4_all_deterministic,Geo,20.0,300.0,1.0,
target_matched,LocalRidge_C1_agronomic_Geo_k20_a300_p1,16,656,0.4939584084998288,0.4768708071680209,0.09012123849703647,0.7005765421086011,0.5016065510977288,0.348020255710029,0.6461129563876145,local,local,C1_agronomic,Geo,20.0,300.0,1.0,
