neighbor_scope,pair_type,query_id,neighbor_id,rank,n_series,pearson_mean,spearman_mean,best_lag_corr_mean,best_lag_median_months,dtw_mean
target_to_train,target_train,AGC_082,AGC_051,2,11,0.9710897423503194,0.9545454545454547,0.9710897423503194,0.0,0.14936574192595764
target_to_train,target_train,AGC_082,AGC_034,3,11,0.8412287943931255,0.8136363636363637,0.9657204206864107,0.0,0.26452002562654886
target_to_train,target_train,AGC_082,AGC_121,4,11,0.7277669058510136,0.7532467532467533,0.9654172854222228,1.0,0.33724527563922324
target_to_train,target_train,AGC_082,AGC_018,5,11,0.869825565118444,0.8242345799568658,0.9641486391886829,0.0,0.16894089223452527
target_to_train,target_train,AGC_085,AGC_104,1,11,0.9696677219294301,0.931002837178647,0.9696677219294301,0.0,0.1606887310650923
target_to_train,target_train,AGC_085,AGC_184,2,11,0.9168265209381198,0.8985059217298837,0.9670416436258862,0.0,0.18484021841622
target_to_train,target_train,AGC_085,AGC_189,3,11,0.9668374038889987,0.9407137139376762,0.9668374038889987,0.0,0.14476761855057996
target_to_train,target_train,AGC_085,AGC_172,4,11,0.8241112893943388,0.8285978864903819,0.9629278874679905,1.0,0.36750105195446514
target_to_train,target_train,AGC_085,AGC_195,5,11,0.9622829061504128,0.9050288112046211,0.9622829061504128,0.0,0.19104889414054932
target_to_train,target_train,AGC_086,AGC_068,1,11,0.9371963923191163,0.9533481311499217,0.9830914949366059,0.0,0.1315402614268838
target_to_train,target_train,AGC_086,AGC_163,2,11,0.9588452972588658,0.9610389610389611,0.9805858447520119,0.0,0.1507156571555163
target_to_train,target_train,AGC_086,AGC_099,3,11,0.9170275622154123,0.9090909090909093,0.9800094305097276,0.0,0.17719217372653773
target_to_train,target_train,AGC_086,AGC_049,4,11,0.9103912084004034,0.9155844155844158,0.9770456141703309,0.0,0.18359648125679168
target_to_train,target_train,AGC_086,AGC_141,5,11,0.949255185991388,0.9448051948051951,0.9758980298775639,0.0,0.15207675467237597
target_to_train,target_train,AGC_087,AGC_054,1,11,0.9903416322557276,0.9805194805194806,0.9903416322557276,0.0,0.10873497370608666
target_to_train,target_train,AGC_087,AGC_023,2,11,0.9762884498078912,0.9740259740259741,0.9762884498078912,0.0,0.1258591545832608
target_to_train,target_train,AGC_087,AGC_123,3,11,0.9735725024876776,0.9480519480519483,0.9735725024876776,0.0,0.11242210837614262
target_to_train,target_train,AGC_087,AGC_064,4,11,0.8825055592683033,0.8896103896103899,0.9707473732168633,0.0,0.18327264414475056
target_to_train,target_train,AGC_087,AGC_014,5,11,0.8515425414296159,0.8538961038961042,0.9690846530582075,0.0,0.2857348530704225
target_to_train,target_train,AGC_088,AGC_165,1,11,0.989884154917478,0.9740259740259741,0.989884154917478,0.0,0.10888939418602649
target_to_train,target_train,AGC_088,AGC_026,2,11,0.96363326946337,0.902597402597403,0.9824274147235967,0.0,0.18308132255315532
target_to_train,target_train,AGC_088,AGC_012,3,11,0.9813095839544762,0.9090909090909093,0.9813095839544762,0.0,0.1189892420714362
target_to_train,target_train,AGC_088,AGC_171,4,11,0.943075222494419,0.918831168831169,0.9799835516836737,0.0,0.16849695778689736
target_to_train,target_train,AGC_088,AGC_133,5,11,0.9796845848034746,0.9480519480519483,0.9796845848034746,0.0,0.13207591934850302
target_to_train,target_train,AGC_091,AGC_013,1,11,0.9572555799966896,0.9545454545454547,0.9806213923932048,0.0,0.17543546300660592
target_to_train,target_train,AGC_091,AGC_049,2,11,0.9803449769381788,0.9350649350649355,0.9805262106852838,0.0,0.15152909161138758
target_to_train,target_train,AGC_091,AGC_072,3,11,0.9595597254343562,0.9512987012987014,0.9793945897883396,0.0,0.16933441412016287
target_to_train,target_train,AGC_091,AGC_162,4,11,0.9765470905773903,0.9545454545454547,0.9765470905773903,0.0,0.1660615060617268
target_to_train,target_train,AGC_091,AGC_057,5,11,0.9636143446813491,0.9383116883116887,0.9763383806812018,0.0,0.17837761734491883
target_to_train,target_train,AGC_093,AGC_123,1,11,0.9780026455405019,0.9480519480519483,0.9780026455405019,0.0,0.1423970885323017
target_to_train,target_train,AGC_093,AGC_150,2,11,0.9727326593703075,0.9253246753246755,0.9727326593703075,0.0,0.15698663390900028
target_to_train,target_train,AGC_093,AGC_054,3,11,0.9725686641961301,0.9577922077922079,0.9725686641961301,0.0,0.14711167300103287
target_to_train,target_train,AGC_093,AGC_146,4,11,0.8342898325826673,0.7954545454545454,0.9699248473332129,0.0,0.21280872052069935
target_to_train,target_train,AGC_093,AGC_164,5,11,0.9686219424734633,0.9448051948051951,0.9686219424734633,0.0,0.16831320519208592
target_to_train,target_train,AGC_094,AGC_179,1,11,0.982700803552131,0.9772727272727273,0.982700803552131,0.0,0.1281760297941997
target_to_train,target_train,AGC_094,AGC_160,2,11,0.9668184048127594,0.9512987012987015,0.9680562583810286,0.0,0.18772661271813068
target_to_train,target_train,AGC_094,AGC_124,3,11,0.9629139924435776,0.9350649350649353,0.96387340255665,0.0,0.1600452368979445
target_to_train,target_train,AGC_094,AGC_097,4,11,0.9628118380110291,0.957792207792208,0.9628118380110291,0.0,0.16593297008515673
target_to_train,target_train,AGC_094,AGC_021,5,11,0.9603315929056481,0.9285714285714288,0.9603315929056481,0.0,0.17935910546038475
target_to_train,target_train,AGC_095,AGC_171,1,11,0.9836685940302913,0.957792207792208,0.9836685940302913,0.0,0.1356406906442045
target_to_train,target_train,AGC_095,AGC_101,2,11,0.9785547645668381,0.9058441558441561,0.9785547645668381,0.0,0.15624750314863406
target_to_train,target_train,AGC_095,AGC_164,3,11,0.9575382002714456,0.9577922077922079,0.9782659379359029,0.0,0.13830645571383857
target_to_train,target_train,AGC_095,AGC_008,4,11,0.9774194066680807,0.918831168831169,0.9774194066680807,0.0,0.1844240314093506
target_to_train,target_train,AGC_095,AGC_047,5,11,0.9742685978011388,0.9383116883116887,0.9742685978011388,0.0,0.15166236703602876
target_to_train,target_train,AGC_107,AGC_137,1,11,0.9440903900080926,0.9110815729796684,0.9705237454021628,0.0,0.17220062542826634
target_to_train,target_train,AGC_107,AGC_059,2,11,0.9503414391851397,0.9476977567886661,0.9700242658631207,0.0,0.21686361721436684
target_to_train,target_train,AGC_107,AGC_184,3,11,0.9680588719781718,0.9519451268857749,0.9680588719781718,0.0,0.14131867827547026
target_to_train,target_train,AGC_107,AGC_051,4,11,0.9494131221480537,0.9259417179305182,0.9647316873558328,0.0,0.203175077415076
target_to_train,target_train,AGC_107,AGC_152,5,11,0.9557284431063402,0.9097961006404437,0.9618754019488225,0.0,0.19048216436519566
target_to_train,target_train,AGC_113,AGC_038,1,11,0.9844493118855865,0.9439604671844294,0.9844493118855865,0.0,0.1317492852311709
target_to_train,target_train,AGC_113,AGC_140,2,11,0.8983862732127439,0.8850649350649352,0.9738460256670703,0.0,0.16676494241686776
target_to_train,target_train,AGC_113,AGC_083,3,11,0.9002020773689806,0.8914541385929958,0.9726634970046878,0.0,0.20564821235267114
target_to_train,target_train,AGC_113,AGC_034,4,11,0.9598355020331685,0.9753246753246756,0.9598355020331685,0.0,0.2323559871665598
target_to_train,target_train,AGC_113,AGC_079,5,11,0.954706512890157,0.9155844155844158,0.954706512890157,0.0,0.1598171665305399
target_to_train,target_train,AGC_116,AGC_112,1,11,0.9165859635125099,0.8749853085093849,0.9737345486558869,0.0,0.22624213634064783
target_to_train,target_train,AGC_116,AGC_004,2,11,0.918085705680605,0.9056080283353013,0.9712220470991116,0.0,0.24656450281960243
target_to_train,target_train,AGC_116,AGC_184,3,11,0.9416265700793901,0.8886187470834712,0.9676767231259645,0.0,0.22419548730848754
target_to_train,target_train,AGC_116,AGC_090,4,11,0.8988083840157757,0.8733472403953929,0.9629204029119108,0.0,0.2141250678880904
