pair_type,query_id,neighbor_id,n_series,pearson_mean,spearman_mean,best_lag_corr_mean,best_lag_median_months,dtw_mean
target_train,AGC_003,AGC_178,11,0.8620458236539641,0.7727272727272729,0.9451255306353801,0.0,0.24878643195574793
target_train,AGC_003,AGC_179,11,0.7276193440562712,0.694805194805195,0.8564961236135019,1.0,0.3725873025753288
target_train,AGC_003,AGC_180,11,0.6628946996604956,0.6850649350649352,0.9134876013934395,-1.0,0.39444366323839636
target_train,AGC_003,AGC_181,11,0.9124243039799964,0.8701298701298703,0.9361664711455938,0.0,0.2537262167142178
target_train,AGC_003,AGC_184,11,0.8203249838801288,0.7564935064935067,0.9276885968649864,-1.0,0.3352743206094877
target_train,AGC_003,AGC_185,11,0.7978765093693873,0.6688605518123997,0.9403947235312753,-1.0,0.3469410354651799
target_train,AGC_003,AGC_187,11,0.7437543259976629,0.7563465915873536,0.9169599186862553,-1.0,0.40169910726684327
target_train,AGC_003,AGC_189,11,0.8304566595480637,0.7889610389610392,0.9031954784564061,-1.0,0.3908597720125643
target_train,AGC_003,AGC_193,11,0.842461586111001,0.7824675324675326,0.9192225115745235,0.0,0.3103415015038275
target_train,AGC_003,AGC_194,11,0.8221997515695292,0.7309308422567092,0.8903941160017251,-1.0,0.36031277416869706
target_train,AGC_003,AGC_195,11,0.8161027369197268,0.7467532467532468,0.9344235339933834,-1.0,0.3402569211376792
target_train,AGC_003,AGC_196,11,0.662385962768833,0.7954545454545456,0.8589890564063279,-1.0,0.46917166450946185
target_train,AGC_003,AGC_197,11,0.8987981964963514,0.8149350649350651,0.9527304465087011,0.0,0.2418401070087025
target_train,AGC_011,AGC_001,11,0.7800960069175407,0.8110389610389611,0.9444000461493239,1.0,0.3596537994672822
target_train,AGC_011,AGC_002,11,0.8611340677047472,0.8311688311688314,0.9373040458571922,-1.0,0.3360438002023194
target_train,AGC_011,AGC_004,11,0.9141125392587145,0.895171019539439,0.9271911656948988,0.0,0.28530159778911823
target_train,AGC_011,AGC_005,11,0.8118312784301769,0.8400349803070948,0.9383245143115656,1.0,0.4178734018776176
target_train,AGC_011,AGC_006,11,0.9637880106226319,0.9415584415584418,0.9721646908229478,0.0,0.16377900052733133
target_train,AGC_011,AGC_007,11,0.7826825508844276,0.792857142857143,0.812309800343128,0.0,0.40094108577791904
target_train,AGC_011,AGC_008,11,0.9542585067409921,0.9025974025974027,0.965078709807235,0.0,0.1833050567689636
target_train,AGC_011,AGC_009,11,0.9412951649394199,0.8934741854629858,0.9412951649394199,0.0,0.2730379498419657
target_train,AGC_011,AGC_010,11,0.9304266198575217,0.8421602378023614,0.9361583870621775,0.0,0.2458253595170623
target_train,AGC_011,AGC_012,11,0.9652532708055545,0.863636363636364,0.9652532708055545,0.0,0.20349894335806837
target_train,AGC_011,AGC_013,11,0.9132492497912352,0.8344155844155846,0.954051504779783,1.0,0.2686260508253134
target_train,AGC_011,AGC_014,11,0.8751805820427183,0.8084415584415587,0.948773509130712,0.0,0.3023885476167229
target_train,AGC_011,AGC_015,11,0.8889214220263387,0.8376623376623378,0.9450277500594754,1.0,0.3058221063373876
target_train,AGC_011,AGC_017,11,0.9557457118863399,0.8961038961038963,0.9557457118863399,0.0,0.14734830849547473
target_train,AGC_011,AGC_018,11,0.8669938318866965,0.8717385552626318,0.9377767145337838,0.0,0.24410490480943414
target_train,AGC_011,AGC_019,11,0.8293929660655247,0.8863636363636364,0.8318768053396286,0.0,0.4672098817891156
target_train,AGC_011,AGC_020,11,0.8365216906088289,0.8416730484210867,0.8367579585988164,0.0,0.42548699869953127
target_train,AGC_011,AGC_021,11,0.7724083436384993,0.7240259740259741,0.892042217787522,2.0,0.4429457390871843
target_train,AGC_011,AGC_022,11,0.9445575350365477,0.9123376623376624,0.9649259271116215,0.0,0.22147730655090295
target_train,AGC_011,AGC_023,11,0.8935935289426525,0.8863636363636366,0.9129898077952411,0.0,0.29750285824201844
target_train,AGC_011,AGC_024,11,0.9519760447444149,0.8766233766233769,0.9541333416556855,0.0,0.24915867272690584
target_train,AGC_011,AGC_026,11,0.9508194737266891,0.8603896103896105,0.969229242046696,0.0,0.1884968951273831
target_train,AGC_011,AGC_032,11,0.9513153813130132,0.9415584415584418,0.9513153813130132,0.0,0.2317600703022343
target_train,AGC_011,AGC_033,11,0.916141887769174,0.8149350649350652,0.9177441343196517,0.0,0.25642358551504874
target_train,AGC_011,AGC_034,11,0.8944002261848415,0.842857142857143,0.9438015609583356,0.0,0.19490210296528743
target_train,AGC_011,AGC_035,11,0.9344235520260082,0.9025974025974027,0.9344235520260082,0.0,0.2726620641553248
target_train,AGC_011,AGC_037,11,0.9279296916379358,0.931818181818182,0.9559596066160597,0.0,0.18706514392759657
target_train,AGC_011,AGC_038,11,0.8937113285731114,0.8458232952510669,0.9175597268517862,0.0,0.27627697997808637
target_train,AGC_011,AGC_040,11,0.831935071500599,0.7987012987012988,0.9172788226596933,1.0,0.3430649599689749
target_train,AGC_011,AGC_041,11,0.8753682082364165,0.7889610389610392,0.8753682082364165,0.0,0.3260874076773557
target_train,AGC_011,AGC_044,11,0.8871499414125265,0.8831168831168832,0.8871499414125265,0.0,0.37019973211057056
target_train,AGC_011,AGC_045,11,0.9086636264628136,0.892857142857143,0.9669539030370782,0.0,0.13279678218827498
target_train,AGC_011,AGC_046,11,0.9299305841533794,0.9480519480519484,0.9299305841533794,0.0,0.286969482168398
target_train,AGC_011,AGC_047,11,0.9568919280273719,0.9285714285714289,0.9657955934079555,0.0,0.19799053535548172
target_train,AGC_011,AGC_048,11,0.9190993704917656,0.9155844155844157,0.9340324301754243,1.0,0.2688556945883917
target_train,AGC_011,AGC_049,11,0.8569217529212718,0.8506493506493509,0.9539081748293181,1.0,0.3471571906304382
target_train,AGC_011,AGC_051,11,0.868943456583914,0.8149350649350652,0.8771774644235945,0.0,0.32650520199777283
target_train,AGC_011,AGC_053,11,0.7821491334422553,0.8149350649350651,0.9356375240672363,1.0,0.42905654498559415
target_train,AGC_011,AGC_054,11,0.9485678051759036,0.931818181818182,0.9551644597885887,0.0,0.19560025416264318
target_train,AGC_011,AGC_055,11,0.9449071115438414,0.8506493506493507,0.9596294460588026,0.0,0.1813155590887523
target_train,AGC_011,AGC_056,11,0.9021133905971603,0.8961038961038963,0.9576265172523349,1.0,0.25840342784789117
target_train,AGC_011,AGC_057,11,0.8684717475722749,0.8506493506493507,0.9514326448495816,1.0,0.3366327827994337
target_train,AGC_011,AGC_058,11,0.9003616622640624,0.9227537306462262,0.92515951982631,1.0,0.2886428095960144
target_train,AGC_011,AGC_059,11,0.8875950241201955,0.8673238616015762,0.910629643305992,0.0,0.29116404009673974
target_train,AGC_011,AGC_060,11,0.9416269229752362,0.9058441558441559,0.9615900026841483,0.0,0.1951505770397123
target_train,AGC_011,AGC_062,11,0.9473798790777729,0.8896103896103899,0.9569267812991812,0.0,0.19668405379432372
target_train,AGC_011,AGC_064,11,0.9520387183652832,0.9155844155844158,0.9560763043987847,0.0,0.21234636951169372
target_train,AGC_011,AGC_066,11,0.8975055820932781,0.8246753246753248,0.9031341319830696,0.0,0.2768704162646907
target_train,AGC_011,AGC_067,11,0.7798229127193124,0.781818181818182,0.8010583737535544,0.0,0.4251753789539546
target_train,AGC_011,AGC_068,11,0.837414890749619,0.8171020267112078,0.9366281089636572,1.0,0.3430769696257382
target_train,AGC_011,AGC_069,11,0.9014978770920237,0.8376623376623378,0.9565470910975996,1.0,0.27808434145990335
target_train,AGC_011,AGC_070,11,0.8661220916245772,0.8181818181818183,0.9297484099899321,1.0,0.348672857381921
target_train,AGC_011,AGC_072,11,0.9223957073836303,0.8214285714285715,0.9338744405034919,0.0,0.2528069858040762
target_train,AGC_011,AGC_073,11,0.9478407818043604,0.8723555978684744,0.9732822513875021,0.0,0.1784653762495133
target_train,AGC_011,AGC_074,11,0.8724371050951084,0.8961038961038962,0.897631677193207,0.0,0.4019637409133296
target_train,AGC_011,AGC_077,11,0.9278181137452678,0.8571428571428572,0.9518008932972186,1.0,0.28729823179043584
target_train,AGC_011,AGC_078,11,0.7542739790381088,0.8162005516284361,0.835012350088688,1.0,0.46989830260243404
target_train,AGC_011,AGC_079,11,0.934688710784442,0.8993506493506495,0.9486210602560551,0.0,0.2511168487839364
target_train,AGC_011,AGC_080,11,0.8159485466790383,0.7935064935064937,0.8159485466790383,0.0,0.4151152130284464
target_train,AGC_011,AGC_081,11,0.8920828744830391,0.9025974025974027,0.8920828744830391,0.0,0.34492193481069783
target_train,AGC_011,AGC_083,11,0.9557002758819274,0.9437547863158151,0.9557002758819274,0.0,0.2088729916423276
target_train,AGC_011,AGC_084,11,0.8001666536356943,0.7142857142857144,0.8431626550491612,0.0,0.3592867906557011
target_train,AGC_011,AGC_089,11,0.7975864002050407,0.8376623376623379,0.8623279922006023,0.0,0.39209656246627167
target_train,AGC_011,AGC_090,11,0.8901919649297061,0.8636363636363638,0.9407829405081972,0.0,0.2219436789339463
target_train,AGC_011,AGC_092,11,0.7012237356538739,0.7727272727272729,0.9603418592862535,2.0,0.5237695600123898
target_train,AGC_011,AGC_096,11,0.9168905470759047,0.9025974025974027,0.9607988914242157,0.0,0.23435710280207003
target_train,AGC_011,AGC_097,11,0.7445973636841688,0.707792207792208,0.8809260531258883,2.0,0.48026119498626013
target_train,AGC_011,AGC_098,11,0.8376413070879561,0.8214285714285715,0.878655173667449,1.0,0.3524294233502809
target_train,AGC_011,AGC_099,11,0.7942788143246002,0.8149350649350651,0.9122764095318089,1.0,0.4229429261477588
target_train,AGC_011,AGC_100,11,0.9182343940090718,0.8918067343677631,0.9421665103804678,0.0,0.24983193876850687
target_train,AGC_011,AGC_101,11,0.9547048486921185,0.9220779220779224,0.9714816326486283,0.0,0.1784721334632351
target_train,AGC_011,AGC_102,11,0.9449818441102756,0.9123376623376626,0.966724419397207,0.0,0.20265534631830678
target_train,AGC_011,AGC_103,11,0.8920463671013156,0.892857142857143,0.8920463671013156,0.0,0.37935161366984854
target_train,AGC_011,AGC_104,11,0.9611172392384912,0.9220779220779224,0.9611172392384912,0.0,0.1923073569899825
target_train,AGC_011,AGC_105,11,0.8755749752765651,0.8542193166896408,0.9162436688724926,0.0,0.3007303666427514
target_train,AGC_011,AGC_106,11,0.9357785496969505,0.8506493506493509,0.9404225286390063,0.0,0.2291967645587101
target_train,AGC_011,AGC_108,11,0.8363618978428431,0.8181818181818183,0.9423132996260285,1.0,0.3645875215177362
target_train,AGC_011,AGC_109,11,0.8973510415697121,0.7629870129870131,0.8973510415697121,0.0,0.26400697200318873
target_train,AGC_011,AGC_110,11,0.9339304308199007,0.7727272727272727,0.9339304308199007,0.0,0.183265695372422
target_train,AGC_011,AGC_111,11,0.8906168642518492,0.8562393635596307,0.9534186436887983,1.0,0.2956763084607756
target_train,AGC_011,AGC_112,11,0.9226559790948777,0.8701298701298703,0.9504163652820388,0.0,0.2029947827718128
target_train,AGC_011,AGC_114,11,0.9508224206130701,0.918831168831169,0.9508224206130701,0.0,0.23304741480060037
target_train,AGC_011,AGC_115,11,0.9556359064360481,0.9058441558441561,0.9729130004198009,0.0,0.165661789445078
target_train,AGC_011,AGC_117,11,0.830333926823042,0.7922077922077922,0.9043178638752721,1.0,0.35032688876726653
target_train,AGC_011,AGC_119,11,0.9562861463453923,0.9123376623376626,0.9562861463453923,0.0,0.2442908287185892
target_train,AGC_011,AGC_121,11,0.8377853603458081,0.8863636363636367,0.9128964415148616,1.0,0.36206248129142515
target_train,AGC_011,AGC_122,11,0.9132107227712333,0.8798701298701299,0.9146840450923183,0.0,0.30744444664449816
target_train,AGC_011,AGC_123,11,0.9167780285090433,0.918831168831169,0.9322965070835878,0.0,0.2783742703701754
target_train,AGC_011,AGC_124,11,0.7768419627127942,0.7824675324675325,0.9145170497921967,2.0,0.4550646264696363
target_train,AGC_011,AGC_125,11,0.8721469281111595,0.8116883116883119,0.9206118465961982,0.0,0.3285516572090032
target_train,AGC_011,AGC_127,11,0.9349697638380948,0.8919536492739163,0.9430677234760906,0.0,0.21659010138077053
target_train,AGC_011,AGC_131,11,0.8941499929260324,0.8993506493506497,0.9422411459359061,0.0,0.2881646241749468
target_train,AGC_011,AGC_132,11,0.9373385031000971,0.8474025974025975,0.9440939788631845,0.0,0.2125881930531308
target_train,AGC_011,AGC_133,11,0.9835811275696072,0.948051948051948,0.9835811275696072,0.0,0.12426843027740557
target_train,AGC_011,AGC_134,11,0.7764160684884488,0.7402597402597404,0.8195330840354139,0.0,0.41676270884990085
target_train,AGC_011,AGC_135,11,0.8824224509431211,0.8344155844155844,0.9546294190882164,1.0,0.2976251700644989
target_train,AGC_011,AGC_137,11,0.9289241806426347,0.87987012987013,0.9289241806426347,0.0,0.1922380783705637
target_train,AGC_011,AGC_138,11,0.9348080195863847,0.9350649350649353,0.9640368825769737,0.0,0.21697636040363746
target_train,AGC_011,AGC_139,11,0.9695601396488943,0.9188311688311692,0.9695601396488943,0.0,0.1747321490141254
