ID_POLIGONO,meta_estado,meta_municipio,nearest_geo_train_id,nearest_geo_km,nearest_feature_train_id,nearest_feature_distance,nearest_temporal_train_id,nearest_temporal_similarity,feature_neighbor_y_mean,feature_neighbor_y_sd,adversarial_target_probability,geographic_support,feature_support,temporal_support,adversarial_support,neighbor_consistency_support,support_score,support_tier
AGC_082,Hidalgo,Almoloya,AGC_059,0.49482984610785635,AGC_189,28.338535362452415,AGC_059,0.9848872510941606,4.392,0.3371290554075696,0.5704451165204527,0.3333333333333333,0.21739130434782608,0.717391304347826,0.21014492753623187,0.6159420289855072,0.41884057971014493,E_mixed_support
AGC_186,Puebla,Chignahuapan,AGC_062,0.5508064343079505,AGC_100,21.769558626277686,AGC_110,0.9671898432167655,4.292,0.3357022490243399,0.4029906917537865,0.3188405797101449,0.4855072463768116,0.10144927536231885,0.5507246376811594,0.6159420289855072,0.4144927536231884,E_mixed_support
AGC_116,Puebla,Chignahuapan,AGC_014,0.2014486096044487,AGC_105,20.782319346274132,AGC_112,0.9737345486558869,4.159999999999999,0.6107045111999748,0.5735786933465596,0.8188405797101449,0.5652173913043478,0.17391304347826086,0.2028985507246377,0.2608695652173913,0.40434782608695646,E_mixed_support
AGC_031,Puebla,Chignahuapan,AGC_195,0.18190728020614702,AGC_139,29.753465876838877,AGC_073,0.9793244124312476,4.318,0.3761063679333281,0.7264644289619808,0.8333333333333334,0.17391304347826086,0.42028985507246375,0.043478260869565216,0.5072463768115942,0.3956521739130435,C_geographic_supported
AGC_027,Tlaxcala,Calpulalpan,AGC_058,0.52602193811938,AGC_103,28.60372384181868,AGC_187,0.9824167890295409,3.0,0.31622776601683794,0.5809068254533333,0.32608695652173914,0.21739130434782608,0.5579710144927537,0.2028985507246377,0.6521739130434783,0.391304347826087,E_mixed_support
AGC_136,Puebla,Chignahuapan,AGC_002,0.18411439960993856,AGC_010,24.39514614359249,AGC_189,0.9624810000662166,4.276,0.34931933814205013,0.7212793115309297,0.8333333333333334,0.391304347826087,0.057971014492753624,0.057971014492753624,0.6014492753623188,0.3884057971014493,E_mixed_support
AGC_142,Puebla,Chignahuapan,AGC_057,0.06667702066466358,AGC_162,28.095483521108132,AGC_026,0.9706042642284725,4.848000000000001,0.42672707905639184,0.5869573659042192,0.9710144927536232,0.2246376811594203,0.11594202898550725,0.2028985507246377,0.42028985507246375,0.3869565217391305,C_geographic_supported
AGC_192,Puebla,Chignahuapan,AGC_161,0.7621753773773083,AGC_167,22.0527181459508,AGC_049,0.976085237978704,4.3340000000000005,0.8783985428038915,0.2987931963043221,0.2246376811594203,0.4855072463768116,0.2608695652173913,0.7536231884057971,0.16666666666666666,0.37826086956521743,E_mixed_support
AGC_075,Tlaxcala,Calpulalpan,AGC_157,0.3856888380151068,AGC_058,22.995363721472405,AGC_106,0.9746479770595694,3.1,0.4898979485566356,0.5631882089177005,0.5507246376811594,0.463768115942029,0.21739130434782608,0.2246376811594203,0.36231884057971014,0.36376811594202907,E_mixed_support
AGC_188,Puebla,Chignahuapan,AGC_017,0.3362434126980346,AGC_124,24.71522374923793,AGC_161,0.9821909994800412,4.351999999999999,0.8817119711107477,0.7180071261854132,0.6376811594202898,0.37681159420289856,0.5434782608695652,0.057971014492753624,0.15217391304347827,0.3536231884057971,E_mixed_support
AGC_061,Tlaxcala,Calpulalpan,AGC_074,0.9877949440907986,AGC_098,26.80493335650778,AGC_074,0.9819883632758049,3.1,0.3741657386773941,0.6445229386027433,0.15217391304347827,0.2753623188405797,0.5289855072463768,0.16666666666666666,0.5652173913043478,0.33768115942028987,E_mixed_support
AGC_063,Puebla,Chignahuapan,AGC_062,0.6196669465882302,AGC_100,24.94962109501234,AGC_084,0.9611088014809746,4.292,0.3357022490243399,0.5092307449561889,0.2826086956521739,0.35507246376811596,0.057971014492753624,0.34057971014492755,0.6159420289855072,0.33043478260869563,E_mixed_support
AGC_030,Hidalgo,Singuilucan,AGC_078,0.5066567898404124,AGC_079,25.465899379180964,AGC_181,0.9760876433271847,3.04,0.5199999999999999,0.49583080518972067,0.3333333333333333,0.34057971014492755,0.2608695652173913,0.35507246376811596,0.3333333333333333,0.32463768115942027,D_extrapolation
AGC_118,Hidalgo,Singuilucan,AGC_121,1.0732361948178293,AGC_121,28.83958204962491,AGC_074,0.9838578487162057,3.196,0.7605682086440373,0.5075485092198352,0.12318840579710146,0.2028985507246377,0.6739130434782609,0.34057971014492755,0.2536231884057971,0.3188405797101449,D_extrapolation
AGC_174,Hidalgo,Cuautepec de Hinojosa,AGC_083,1.6451841750757326,AGC_083,23.386741489819215,AGC_180,0.96064287062783,4.644,0.20558210038814162,0.6555224105452705,0.06521739130434782,0.42028985507246375,0.050724637681159424,0.13043478260869565,0.8913043478260869,0.31159420289855067,D_extrapolation
AGC_130,Hidalgo,Cuautepec de Hinojosa,AGC_064,0.44763268792624156,AGC_064,22.380297201651388,AGC_123,0.9803028909378614,3.418,0.8775967183165625,0.720889912127784,0.391304347826087,0.4855072463768116,0.4420289855072464,0.057971014492753624,0.16666666666666666,0.3086956521739131,D_extrapolation
AGC_129,Hidalgo,Singuilucan,AGC_081,0.5173776197752261,AGC_081,32.45160543394956,AGC_045,0.9847904424589026,3.842,0.5225476054868112,0.7407678323090281,0.3333333333333333,0.10144927536231885,0.717391304347826,0.043478260869565216,0.3333333333333333,0.30579710144927535,D_extrapolation
AGC_175,Puebla,Chignahuapan,AGC_017,0.2649527687505509,AGC_097,25.77548945983675,AGC_159,0.9730607944810213,4.2780000000000005,0.8306960936467681,0.7044057988816234,0.717391304347826,0.32608695652173914,0.17391304347826086,0.057971014492753624,0.2028985507246377,0.2956521739130435,D_extrapolation
AGC_043,Puebla,Chignahuapan,AGC_105,0.3500530419525511,AGC_105,31.390102288053704,AGC_159,0.9712350573201839,4.2219999999999995,0.6025080912319768,0.7019955101648725,0.6014492753623188,0.14492753623188406,0.13043478260869565,0.057971014492753624,0.26811594202898553,0.24057971014492754,D_extrapolation
AGC_076,Puebla,Chignahuapan,AGC_168,0.3101079000135918,AGC_168,30.037621421058972,AGC_049,0.9638983488607665,3.8939999999999997,0.8785123789679915,0.6862763560109004,0.6956521739130435,0.16666666666666666,0.06521739130434782,0.07971014492753623,0.16666666666666666,0.23478260869565215,D_extrapolation
AGC_003,Hidalgo,Singuilucan,AGC_081,0.3823483795218625,AGC_081,40.183694812210284,AGC_125,0.9648563005900445,4.224,0.5287192071411818,0.6657323621749495,0.5507246376811594,0.028985507246376812,0.10144927536231885,0.11594202898550725,0.3188405797101449,0.22318840579710147,D_extrapolation
AGC_183,Tlaxcala,Calpulalpan,AGC_163,1.0913105685769802,AGC_004,33.169955247076324,AGC_146,0.970742595001731,3.118,0.7692177845057926,0.49943197097788294,0.12318840579710146,0.08695652173913043,0.13043478260869565,0.35507246376811596,0.2463768115942029,0.18840579710144928,D_extrapolation
AGC_120,Tlaxcala,Nanacamilpa de Mariano Arista,AGC_054,1.2647701335085926,AGC_059,43.72894968384745,AGC_046,0.9815866849955697,3.96,0.8587665573367421,0.6803645086693996,0.07971014492753623,0.0,0.4855072463768116,0.09420289855072464,0.17391304347826086,0.16666666666666666,D_extrapolation
AGC_029,Tlaxcala,Calpulalpan,AGC_001,0.7833187103735001,AGC_001,67.79772121235509,AGC_053,0.9593571403191427,3.1,0.4898979485566356,0.9779505858197545,0.2246376811594203,0.0,0.036231884057971016,0.0,0.36231884057971014,0.12463768115942028,D_extrapolation
AGC_173,Tlaxcala,Calpulalpan,AGC_187,1.7017340247294221,AGC_084,87.72632997193861,AGC_189,0.9740715655929723,4.172,0.8497387833916962,0.9949146558172397,0.06521739130434782,0.0,0.18840579710144928,0.0,0.18115942028985507,0.08695652173913045,D_extrapolation
