Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion,cvegeo,Preciomediorural
2024,29,Tlaxcala,165,Calpulalpan,1,Calpulalpan,6,Calpulalpan,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,13220.0,13220.0,0.0,34504.2,2.61,,217749795.4,29006,6310.82
2024,29,Tlaxcala,165,Calpulalpan,1,Calpulalpan,21,Nanacamilpa de Mariano Arista,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,4449.0,4449.0,0.0,11122.5,2.5,,68137769.7,29021,6126.12
2025,13,Hidalgo,62,Pachuca,3,Apan,7,Almoloya,2,Primavera-Verano,1,Riego,200201,Tonelada,5920000,Cebada grano,124.78,124.78,0.0,432.99,3.47,,2791486.53,13007,6447.0
2025,13,Hidalgo,62,Pachuca,3,Apan,7,Almoloya,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,10893.09,10893.09,0.0,20805.8,1.91,,132982143.2,13007,6391.59
2025,13,Hidalgo,61,Tulancingo,1,Tulancingo,16,Cuautepec de Hinojosa,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,8595.5,8595.5,0.0,20199.43,2.35,,121156989.1,13016,5998.04
2025,13,Hidalgo,62,Pachuca,3,Apan,21,Emiliano Zapata,2,Primavera-Verano,1,Riego,200201,Tonelada,5920000,Cebada grano,53.16,53.16,0.0,175.96,3.31,,1120865.2,13021,6370.0
2025,13,Hidalgo,62,Pachuca,3,Apan,21,Emiliano Zapata,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,2429.3,2429.3,0.0,4397.03,1.81,,27623593.48,13021,6282.33
2025,13,Hidalgo,61,Tulancingo,1,Tulancingo,57,Singuilucan,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,11180.0,11180.0,0.0,21005.0,1.88,,84020000.0,13057,4000.0
2025,21,Puebla,112,Zacatlán,1,Zacatlán,53,Chignahuapan,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,7300.0,7300.0,0.0,23506.0,3.22,,145995766.0,21053,6211.0
2025,29,Tlaxcala,165,Calpulalpan,1,Calpulalpan,6,Calpulalpan,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,14720.0,14720.0,0.0,58880.0,4.0,,354303923.2,29006,6017.39
2025,29,Tlaxcala,165,Calpulalpan,1,Calpulalpan,21,Nanacamilpa de Mariano Arista,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,4800.0,4800.0,0.0,19200.0,4.0,,117440064.0,29021,6116.67
